layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
layers.0.blocks.0,0.0,layer1,0.0,0.31978848210461913,0.31978848210461913,0.0
layers.1.blocks.0,0.09090909090909091,layer1,0.0,0.3955376499665354,0.3955376499665354,-0.09090909090909091
layers.2.blocks.0,0.18181818181818182,layer3,1.0,0.5450303267189416,0.5178804016312676,0.8181818181818181
layers.3.blocks.0,0.2727272727272727,layer3,1.0,0.42226641407798415,0.41613613211239775,0.7272727272727273
layers.0.blocks.1,0.36363636363636365,layer1,0.0,0.33693223286750956,0.2955755869207705,-0.36363636363636365
layers.1.blocks.1,0.45454545454545453,layer1,0.0,0.42150506931402154,0.42132454807453795,-0.45454545454545453
layers.2.blocks.1,0.5454545454545454,layer3,1.0,0.47820120344212386,0.4755642020950132,0.4545454545454546
layers.3.blocks.1,0.6363636363636364,layer1,0.0,0.25549481906137983,0.2530501628556867,-0.6363636363636364
layers.2.blocks.2,0.7272727272727273,layer3,1.0,0.46872768832402933,0.4671518503035271,0.2727272727272727
layers.2.blocks.3,0.8181818181818182,layer3,1.0,0.42641033540050627,0.42641033540050627,0.18181818181818177
layers.2.blocks.4,0.9090909090909091,layer2,0.5,0.4141103837285228,0.4127511421415038,-0.40909090909090906
layers.2.blocks.5,1.0,layer1,0.0,0.38620634041207147,0.3730560136018699,-1.0
