layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,layer3,1.0,0.15684264445931434,0.09693102012467418,1.0
blocks.1,0.02564102564102564,layer3,1.0,0.17128230417331303,0.10491494992061844,0.9743589743589743
blocks.2,0.05128205128205128,layer3,1.0,0.5352099181019281,0.3323567595463549,0.9487179487179487
blocks.3,0.07692307692307693,layer3,1.0,0.5655468004774639,0.4601074219627314,0.9230769230769231
blocks.4,0.10256410256410256,layer3,1.0,0.5547731692322342,0.46159391504989133,0.8974358974358975
blocks.5,0.1282051282051282,layer3,1.0,0.595223095529594,0.5162263968604226,0.8717948717948718
blocks.6,0.15384615384615385,layer3,1.0,0.62892208132839,0.5576407949426794,0.8461538461538461
blocks.7,0.1794871794871795,layer3,1.0,0.678962931198128,0.6068032287466791,0.8205128205128205
blocks.8,0.20512820512820512,layer3,1.0,0.7129059209671726,0.6307056249433908,0.7948717948717949
blocks.9,0.23076923076923078,layer3,1.0,0.7473087780803469,0.6521604015312742,0.7692307692307692
blocks.10,0.2564102564102564,layer3,1.0,0.779060043528971,0.745345542922583,0.7435897435897436
blocks.11,0.28205128205128205,layer3,1.0,0.802255709821802,0.7699829110494812,0.717948717948718
blocks.12,0.3076923076923077,layer3,1.0,0.8233322714604082,0.7891397165659021,0.6923076923076923
blocks.13,0.3333333333333333,layer3,1.0,0.8442203872627397,0.8049637185668033,0.6666666666666667
blocks.14,0.358974358974359,layer3,1.0,0.8543149781787638,0.8125964998405246,0.641025641025641
blocks.15,0.38461538461538464,layer3,1.0,0.86066888955564,0.811543242770542,0.6153846153846154
blocks.16,0.41025641025641024,layer3,1.0,0.8691947832645254,0.813631406156379,0.5897435897435898
blocks.17,0.4358974358974359,layer3,1.0,0.8603490247903272,0.7978643651798331,0.5641025641025641
blocks.18,0.46153846153846156,layer3,1.0,0.8560159452473675,0.7879305148587773,0.5384615384615384
blocks.19,0.48717948717948717,layer3,1.0,0.8492105174759536,0.7764966186391544,0.5128205128205128
blocks.20,0.5128205128205128,layer3,1.0,0.841219030437765,0.7646866817198372,0.4871794871794872
blocks.21,0.5384615384615384,layer3,1.0,0.8338352693247606,0.7531887089772711,0.46153846153846156
blocks.22,0.5641025641025641,layer3,1.0,0.8238396924508784,0.743019512548895,0.4358974358974359
blocks.23,0.5897435897435898,layer3,1.0,0.7949915083278156,0.7151025575851622,0.41025641025641024
blocks.24,0.6153846153846154,layer3,1.0,0.7845530896367873,0.700996459431434,0.3846153846153846
blocks.25,0.6410256410256411,layer3,1.0,0.7704344966418843,0.6842333496156592,0.3589743589743589
blocks.26,0.6666666666666666,layer3,1.0,0.7554714335887872,0.668885332129954,0.33333333333333337
blocks.27,0.6923076923076923,layer3,1.0,0.7485427969302366,0.6612231274978881,0.3076923076923077
blocks.28,0.717948717948718,layer3,1.0,0.7607020167102704,0.6718337450032176,0.28205128205128205
blocks.29,0.7435897435897436,layer3,1.0,0.7793026492406309,0.6877451929911329,0.2564102564102564
blocks.30,0.7692307692307693,layer3,1.0,0.7894637456976225,0.7894637456976225,0.23076923076923073
blocks.31,0.7948717948717948,layer3,1.0,0.798135047105518,0.798135047105518,0.20512820512820518
blocks.32,0.8205128205128205,layer3,1.0,0.7981797841480421,0.7981797841480421,0.17948717948717952
blocks.33,0.8461538461538461,layer3,1.0,0.8003975432190013,0.8003975432190013,0.15384615384615385
blocks.34,0.8717948717948718,layer3,1.0,0.7998675401032389,0.7998675401032389,0.1282051282051282
blocks.35,0.8974358974358975,layer3,1.0,0.7996738724709803,0.7996738724709803,0.10256410256410253
blocks.36,0.9230769230769231,layer3,1.0,0.7990649343183299,0.7990649343183299,0.07692307692307687
blocks.37,0.9487179487179487,layer3,1.0,0.7924724078639048,0.7924724078639048,0.05128205128205132
blocks.38,0.9743589743589743,layer3,1.0,0.7872745797514977,0.7872745797514977,0.02564102564102566
blocks.39,1.0,layer3,1.0,0.7840090622449599,0.7840090622449599,0.0
