layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,trunk.blocks.0,0.0,0.5870563966391332,0.5870563966391332,0.0
blocks.1,0.043478260869565216,trunk.blocks.0,0.0,0.5781655450046428,0.5781655450046428,-0.043478260869565216
blocks.2,0.08695652173913043,trunk.blocks.3,0.2727272727272727,0.7741670798226559,0.6942547095893851,0.18577075098814227
blocks.3,0.13043478260869565,trunk.blocks.2,0.18181818181818182,0.8848382210616599,0.8341255068899537,0.051383399209486175
blocks.4,0.17391304347826086,trunk.blocks.3,0.2727272727272727,0.9467525754772088,0.9293604273282032,0.09881422924901184
blocks.5,0.21739130434782608,trunk.blocks.4,0.36363636363636365,0.9718236870872843,0.9122887507844958,0.14624505928853757
blocks.6,0.2608695652173913,trunk.blocks.4,0.36363636363636365,0.9737521944482043,0.9531777859401348,0.10276679841897235
blocks.7,0.30434782608695654,trunk.blocks.4,0.36363636363636365,0.9704092118505441,0.9514921234571022,0.059288537549407105
blocks.8,0.34782608695652173,trunk.blocks.4,0.36363636363636365,0.9706268731784414,0.9706268731784414,0.015810276679841917
blocks.9,0.391304347826087,trunk.blocks.5,0.45454545454545453,0.976148755440781,0.9626982794873538,0.06324110671936756
blocks.10,0.43478260869565216,trunk.blocks.6,0.5454545454545454,0.9770521063077185,0.9751967966536584,0.11067193675889325
blocks.11,0.4782608695652174,trunk.blocks.7,0.6363636363636364,0.9760771018484704,0.9704040731301211,0.15810276679841895
blocks.12,0.5217391304347826,trunk.blocks.7,0.6363636363636364,0.9728572911012839,0.9705927478947536,0.11462450592885376
blocks.13,0.5652173913043478,trunk.blocks.7,0.6363636363636364,0.9731274810521284,0.9667383700780156,0.07114624505928857
blocks.14,0.6086956521739131,trunk.blocks.8,0.7272727272727273,0.9719343985210785,0.9717299116751525,0.11857707509881421
blocks.15,0.6521739130434783,trunk.blocks.7,0.6363636363636364,0.9737422986203553,0.9737422986203553,-0.015810276679841917
blocks.16,0.6956521739130435,trunk.blocks.7,0.6363636363636364,0.9777800287901349,0.9762237136615576,-0.059288537549407105
blocks.17,0.7391304347826086,trunk.blocks.7,0.6363636363636364,0.9744916304249253,0.9718177373603138,-0.1027667984189723
blocks.18,0.782608695652174,trunk.blocks.7,0.6363636363636364,0.9703823859174125,0.9678552801820932,-0.1462450592885376
blocks.19,0.8260869565217391,trunk.blocks.8,0.7272727272727273,0.9584364230380048,0.955038200231043,-0.09881422924901184
blocks.20,0.8695652173913043,trunk.blocks.8,0.7272727272727273,0.9465067949856745,0.946166276452761,-0.14229249011857703
blocks.21,0.9130434782608695,trunk.blocks.11,1.0,0.9254659461138915,0.9243592798505395,0.08695652173913049
blocks.22,0.9565217391304348,trunk.blocks.11,1.0,0.9029714441924626,0.9029714441924626,0.04347826086956519
blocks.23,1.0,trunk.blocks.8,0.7272727272727273,0.9114685810539492,0.9113358728476482,-0.2727272727272727
