layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,layer2,0.5,0.29709168059896274,0.29595593047042273,0.5
blocks.1,0.043478260869565216,layer2,0.5,0.3054962552666853,0.29948286428041865,0.4565217391304348
blocks.2,0.08695652173913043,layer3,1.0,0.5701016845545159,0.51594577871616,0.9130434782608696
blocks.3,0.13043478260869565,layer2,0.5,0.6845641045994942,0.6665771208314886,0.3695652173913043
blocks.4,0.17391304347826086,layer3,1.0,0.7508480003693431,0.7097629765079813,0.8260869565217391
blocks.5,0.21739130434782608,layer3,1.0,0.7912791040043198,0.6921345286398471,0.782608695652174
blocks.6,0.2608695652173913,layer3,1.0,0.7916410811148576,0.7456037257191724,0.7391304347826086
blocks.7,0.30434782608695654,layer3,1.0,0.7921566181396058,0.7466633687844826,0.6956521739130435
blocks.8,0.34782608695652173,layer3,1.0,0.785188935441872,0.7284490308452493,0.6521739130434783
blocks.9,0.391304347826087,layer3,1.0,0.7776912021059093,0.7064681333452012,0.6086956521739131
blocks.10,0.43478260869565216,layer3,1.0,0.7659510775117646,0.6841071305795157,0.5652173913043479
blocks.11,0.4782608695652174,layer3,1.0,0.7622612450909633,0.6705640352324931,0.5217391304347826
blocks.12,0.5217391304347826,layer3,1.0,0.7599062697562983,0.6672191509348081,0.4782608695652174
blocks.13,0.5652173913043478,layer3,1.0,0.7338808834421499,0.6452138604135921,0.4347826086956522
blocks.14,0.6086956521739131,layer3,1.0,0.7293125874871978,0.6403370951059222,0.3913043478260869
blocks.15,0.6521739130434783,layer3,1.0,0.7413902279284903,0.6498886201875913,0.34782608695652173
blocks.16,0.6956521739130435,layer3,1.0,0.7557826098543942,0.6618041327877356,0.30434782608695654
blocks.17,0.7391304347826086,layer3,1.0,0.7667343176621556,0.6753737422385572,0.26086956521739135
blocks.18,0.782608695652174,layer3,1.0,0.749768968865707,0.749768968865707,0.21739130434782605
blocks.19,0.8260869565217391,layer3,1.0,0.7464910006412665,0.7464910006412665,0.17391304347826086
blocks.20,0.8695652173913043,layer3,1.0,0.7383575265003159,0.7383575265003159,0.13043478260869568
blocks.21,0.9130434782608695,layer3,1.0,0.7280546250654942,0.7280546250654942,0.08695652173913049
blocks.22,0.9565217391304348,layer3,1.0,0.7121570396768141,0.7121570396768141,0.04347826086956519
blocks.23,1.0,layer3,1.0,0.7007582029669848,0.7007582029669848,0.0
