,trunk.blocks.0,trunk.blocks.1,trunk.blocks.2,trunk.blocks.3,trunk.blocks.4,trunk.blocks.5,trunk.blocks.6,trunk.blocks.7,trunk.blocks.8,trunk.blocks.9,trunk.blocks.10,trunk.blocks.11
blocks.0,0.5870563966391332,0.5367130180522477,0.5578577018663964,0.49644064317907166,0.469966302335396,0.43327384199913005,0.4126105646123097,0.40537257465538645,0.41723136865690597,0.4231165000612751,0.4216869976486529,0.4166916229399202
blocks.1,0.5781655450046428,0.5370538723585012,0.5555915936765472,0.49943314775627645,0.4807443965036801,0.4514055336320193,0.4325251925336673,0.42522106656801534,0.43595442567079323,0.43849409395329547,0.4368246293916707,0.43211623749317746
blocks.2,0.6431073439199224,0.6942547095893851,0.7670418021182484,0.7741670798226559,0.7642114274355736,0.7187481575412416,0.6974091992099288,0.6781169659240857,0.6751362733156899,0.6813072404328048,0.6753093041595408,0.6710732342565077
blocks.3,0.8020846133642586,0.8341255068899537,0.8848382210616599,0.876094509104681,0.8414994855917151,0.7832139844129946,0.7635532758814638,0.7470593836429757,0.7469150404070922,0.7485394472290107,0.7413055838776177,0.742779427138493
blocks.4,0.7745238661488805,0.867485884329063,0.9293604273282032,0.9467525754772088,0.9256408275868369,0.8787131136930627,0.8607568342874723,0.84319286488302,0.8401190512544364,0.8357689690691766,0.8283848645006439,0.8300973340036317
blocks.5,0.6832498715491876,0.8224776443376889,0.9122887507844958,0.9680429025964594,0.9718236870872843,0.9439013187820321,0.9299916084015634,0.913280342214301,0.9067450568368608,0.9023054895474005,0.895124638082064,0.8957892966272969
blocks.6,0.618527761601343,0.7686572667399484,0.8739113576615075,0.9531777859401348,0.9737521944482043,0.9610408822822176,0.9523430305659829,0.9401406267847643,0.9337366519294852,0.9291432249986318,0.9225772795572322,0.922928446102344
blocks.7,0.6219417016418697,0.769787109518468,0.8742156475862183,0.9514921234571022,0.9704092118505441,0.9603778618235513,0.9542075027258551,0.9452618545793492,0.9400107575161666,0.9357548473890269,0.929380263331655,0.9300829853306992
blocks.8,0.5851166114902683,0.732104255416151,0.8508701776654805,0.9411091126052208,0.9706268731784414,0.9683673195026103,0.9645810677969466,0.9585315959282279,0.9541343711022539,0.9528004140198298,0.9472263248754306,0.9466817097181096
blocks.9,0.5304137405536054,0.6801595880990247,0.8114450396932515,0.918035692535091,0.9626982794873538,0.976148755440781,0.9756295024245056,0.9721540445932659,0.9680800295715051,0.9673516752539897,0.961585555890769,0.9594630553845223
blocks.10,0.47889375271651563,0.6327513668001762,0.7750408623574988,0.8963244577766196,0.9522853583279244,0.9751967966536584,0.9770521063077185,0.975538346390105,0.9710892724818094,0.9713815051677959,0.9655809481892903,0.9625497963240787
blocks.11,0.43279583697368507,0.5909102427865445,0.7359443260465093,0.8719571329387302,0.9372783118572952,0.9704040731301211,0.9753406160960475,0.9760771018484704,0.971493561895827,0.9700616804774372,0.9635663435285785,0.9605664217884491
blocks.12,0.4242095730383026,0.584828437350768,0.7253063575373463,0.8640177171068616,0.9298894082284139,0.9647118258226771,0.9705927478947536,0.9728572911012839,0.9689754173891691,0.9646781162800273,0.9589549802192784,0.9574987286938065
blocks.13,0.43811726648957355,0.5925297848044075,0.7294069481993961,0.8596475283426289,0.9217287059794999,0.959222451643655,0.9667383700780156,0.9731274810521284,0.9719429230248795,0.9674169090608161,0.9626897246629669,0.9613218238290678
