,layers.0.blocks.0,layers.1.blocks.0,layers.2.blocks.0,layers.3.blocks.0,layers.0.blocks.1,layers.1.blocks.1,layers.2.blocks.1,layers.3.blocks.1,layers.2.blocks.2,layers.2.blocks.3,layers.2.blocks.4,layers.2.blocks.5
blocks.0,0.32054269018110015,0.3035856868078645,0.2627911645033052,0.33421516215303165,0.3109507219223049,0.30404282362261686,0.23887205981465262,0.2377407501836527,0.24128175918022024,0.22716018561563725,0.2335294731453784,0.22421976243424188
blocks.1,0.28774245691360034,0.29197487262999794,0.26257540175074406,0.32966160508178494,0.28144348202889063,0.2963384006107915,0.23611890320489468,0.22568646890497,0.236561053849595,0.22231803413970921,0.22786084218877556,0.21749341108040438
blocks.2,0.29846267081264694,0.3452348269980889,0.3924663562485033,0.3901601778717578,0.3032589487625402,0.36715352482840674,0.3461856529770182,0.2502515877944077,0.3418695728081124,0.3128207188467149,0.30840731247080116,0.28271261002579495
blocks.3,0.37051812591535066,0.4168515032638657,0.47463275579012654,0.4465432279550602,0.38080288885118657,0.44008055402334834,0.4240615343022025,0.296654081097813,0.4170292151274624,0.37936602197527586,0.3763253352267106,0.348021363073957
blocks.4,0.3326679940007577,0.4092722204167794,0.49980792252385436,0.4595609198567887,0.34905364514128695,0.4422856960046503,0.4401488509848297,0.2937959142094905,0.43042871894329304,0.38885764777253157,0.38096700577975895,0.3476414259173804
blocks.5,0.2827431139186679,0.38277905181090127,0.4997265335063101,0.453346668590832,0.3030676474255813,0.4241511399061943,0.43649495943498057,0.28300840421010043,0.4261733888163227,0.3830019188695701,0.3708719352898739,0.3319924842844879
blocks.6,0.2516278525555601,0.3591677887764595,0.4875275773024206,0.44240554743319366,0.27344918245851785,0.40542230060989703,0.4247304034186709,0.27347817760517945,0.413786351478377,0.37078680494701305,0.3573762105283803,0.31547269331804473
blocks.7,0.25435766829930867,0.3601735788220427,0.4869599734279433,0.44507828532300436,0.2762016550300742,0.4055128485128566,0.425229102272834,0.275905705784089,0.41465551852894816,0.37154597867122097,0.359310601487008,0.3182565451311105
blocks.8,0.24496450373825268,0.3486240590586399,0.4749692603892026,0.44250063657035343,0.2661397078390898,0.39528175074849076,0.4151348047244331,0.2753814496734665,0.40562742265323004,0.3636657912558018,0.3513116116490232,0.30858500363334795
blocks.9,0.22229175653027713,0.3301823327184025,0.4607610244370878,0.4341823740744911,0.24414609993365954,0.37980255283808234,0.40264427463145097,0.26720255406615395,0.3934644754607966,0.3525106190257292,0.3393833046485228,0.29412764726918994
blocks.10,0.20130659309290921,0.3117587812005099,0.4456446426238856,0.4231789726206672,0.22358351972210824,0.363443037396981,0.38947886527473913,0.2605962068387474,0.3806608719816057,0.34092269980701456,0.3273608026781211,0.28080797211382097
blocks.11,0.17512643354154075,0.2929296223316235,0.4374272571198125,0.40459984329323667,0.19940004584525972,0.3482947132408174,0.3819350784790947,0.24239011053352189,0.371755781126138,0.33184265003851554,0.31644560903021784,0.26784458385701027
