,blocks.0,blocks.1,blocks.2,blocks.3,blocks.4,blocks.5,blocks.6,blocks.7,blocks.8,blocks.9,blocks.10,blocks.11,blocks.12,blocks.13,blocks.14,blocks.15,blocks.16,blocks.17,blocks.18,blocks.19,blocks.20,blocks.21,blocks.22,blocks.23,blocks.24,blocks.25,blocks.26,blocks.27,blocks.28,blocks.29,blocks.30,blocks.31,blocks.32,blocks.33,blocks.34,blocks.35,blocks.36,blocks.37,blocks.38,blocks.39
blocks.0,0.09052525514155185,0.0967844500289208,0.2504300622583008,0.5500944913736252,0.5791178617740099,0.5694793300903739,0.5670701160981407,0.5644833172837869,0.5595894282880961,0.5475249449390992,0.5282648203229049,0.5132765328125337,0.48983039471914436,0.4693745191340544,0.4445164578856975,0.4185039621185339,0.3888154150008749,0.3778817751660953,0.37079132076691523,0.3666422634585153,0.35515159443046473,0.34638099680714646,0.3207004282035991,0.2950913117050723,0.295641499558231,0.302095689306305,0.3055691024359872,0.3225684515888306,0.34080038355012277,0.35720681763359613,0.3595203834241288,0.36404319952398767,0.36267654987043996,0.3616399776621803,0.352440092968122,0.3340764883848979,0.3163613337869797,0.30534149398829874,0.29986020397879853,0.3029899303130748
blocks.1,0.06459242690068684,0.06954737018137443,0.23881353633920874,0.5400737382094534,0.5771245814916357,0.5699917652757123,0.5676936295659066,0.5644171724871344,0.5604089736914609,0.5497664631209029,0.5321280149125716,0.5173259186507305,0.49423445327243665,0.4772379209109421,0.45315277185480096,0.42991179759947773,0.4028227288892169,0.39225828369980725,0.38585693703536683,0.38402106963222604,0.3746961257364415,0.36858249220426503,0.3463477618115969,0.3239701289480363,0.3261316165258541,0.33118640497940444,0.33481171253352215,0.35205789795256237,0.36985175562527484,0.3855275853211307,0.3867482027174989,0.3902975079646875,0.3844240235960106,0.3797987329584825,0.36562592327841953,0.3456220856269741,0.3264562480477556,0.31604808635944,0.31192885140109006,0.31336116371171047
blocks.2,0.12548430410254402,0.1403089815535733,0.488713566000565,0.6909094490185171,0.6958257361239346,0.7021161884515744,0.7097047894883493,0.7282062842764676,0.741879743083751,0.7470240525893639,0.745014377299393,0.7377713408270802,0.7266374562717337,0.7172885479369553,0.7001195526165553,0.6869625380481694,0.6728028732307755,0.6644329725952601,0.659905672967807,0.6550386955273486,0.6407856314734904,0.6284022279659013,0.5992684240729902,0.5602167034442275,0.5567097608968443,0.5605179670194779,0.5552369371213911,0.5652809461301755,0.5846094227639121,0.6073440319739316,0.6128395172228513,0.6152636935257437,0.6148668354274214,0.6160521368098776,0.6108180547163894,0.5983888306122694,0.5821376416269675,0.5702532212825313,0.5633002230766575,0.5591237637790671
blocks.3,0.12718976765051374,0.13905264826789324,0.4569611116189253,0.700222727520706,0.7145920812210488,0.7372539147438,0.7559310560975245,0.7893314359743449,0.8084412655621518,0.8206400685279209,0.8288919153937381,0.8349866763220334,0.833206563573184,0.825398220531282,0.8175767720839788,0.8024554989186793,0.7826917601169746,0.7742552643488746,0.7643056611177789,0.7547342273216382,0.7413107330428099,0.7319248296445436,0.7110399861610114,0.6813808148059679,0.673342397832788,0.6671607955995197,0.6652643396474971,0.6718312297680659,0.6864457889494548,0.7000644222968608,0.7027124131784538,0.7064523279772332,0.7081879597632744,0.7087820220125802,0.7046948526821525,0.6897155633320169,0.6711045993867777,0.6573082396992816,0.6489647472018799,0.6556612759926382
blocks.4,0.14892124147250188,0.16054987607101998,0.5135707994272257,0.7210169154616087,0.7445935586457494,0.7780807459922818,0.8051094299467341,0.846545070174813,0.8724558813173586,0.8924410108726856,0.9080714115738793,0.9168618933877531,0.9190314773545978,0.9151045743890712,0.9097205208164478,0.8987343135112186,0.8814804813632123,0.8737297082394452,0.8629781354531894,0.8548034435597048,0.844344876780365,0.8392920763828077,0.8238810750702164,0.8002008924864891,0.7933768244954957,0.7846924858493616,0.784289160667014,0.7902117749981731,0.8027766461161373,0.8127527843464138,0.8137729670088008,0.8151274340259198,0.8128464488925047,0.8078143686459416,0.7975599302681488,0.7815098237667379,0.760906255825167,0.7474094955874726,0.7398057727515168,0.7446333497523397
blocks.5,0.1592392030085797,0.1732172922909588,0.5796515535333878,0.7229295072643493,0.7366766631206388,0.7732127991864096,0.8008982342158072,0.8479689213798575,0.8797306458571985,0.9077961098949975,0.9298148326893179,0.9411545296583794,0.9485481625770354,0.9518015249239801,0.9505984193670911,0.9472043651895611,0.939061876419309,0.9344812509009944,0.9280043125404022,0.9221143032058516,0.9138862211784925,0.9067517542265019,0.8876672298612724,0.8589476477007459,0.8548675270058332,0.8488781340969666,0.847243930751621,0.8517105695025479,0.865046609715543,0.8769127161359414,0.8784284444767834,0.8772493646479587,0.8746809475236195,0.8688329023471871,0.8588101462980302,0.8459956973524676,0.8284220199559427,0.81530805178707,0.8071958967202527,0.8050669861133756
blocks.6,0.15431001733882377,0.16859853634144084,0.5970197007413572,0.7121461024274091,0.7220379823512054,0.7562516778484172,0.7817123441727184,0.8303939565721425,0.864600756409641,0.8965911477258478,0.9231998507219474,0.9368238739879381,0.9477353293635463,0.9551089050262651,0.9571302504236509,0.9580403012354315,0.9539116588750065,0.9525281325272323,0.9488495338690786,0.9446655168847778,0.9385578177739472,0.9322375439721108,0.9137112524373797,0.8850785539467947,0.8821832137219335,0.876810343674472,0.8749154324118363,0.8791355764396962,0.8923247201678233,0.9044316244308709,0.905532004242357,0.9029825048086763,0.9000309732793526,0.893654166256332,0.8833852016671206,0.8712382201282611,0.8545523513402554,0.8411552806996558,0.83236670269367,0.8271972627327402
blocks.7,0.1537986152964515,0.16808935864869548,0.5866581587125275,0.7055647302212986,0.7138588266268291,0.7492386558824612,0.7757646227123838,0.8257855220166664,0.8606078427961816,0.8932222816281234,0.9205024209940645,0.9360831361387218,0.9483069397902227,0.9564885985944842,0.9596547246677846,0.9608020839151278,0.9566437471216979,0.9563666662475332,0.9527690090901002,0.9489632353710806,0.9432162746858783,0.9376778659409386,0.9193380451574789,0.891613205350146,0.8878688176608147,0.8807860517381864,0.8796293630247112,0.8837220459343716,0.8967307150427999,0.9085251256816064,0.9097854853804627,0.9084105614278437,0.9068504684847288,0.9015639049404685,0.8925471804577055,0.8806036660209695,0.8643992987620893,0.8510393696778511,0.8425219771879702,0.8394450690701952
blocks.8,0.15783756057946416,0.17358346585987233,0.6092135919635964,0.7124333989056383,0.71485227050793,0.7450620885361369,0.7692865191387627,0.8186365053662773,0.8539537235957769,0.8871339391768851,0.9149280943162945,0.9299014759309541,0.9426411734230227,0.9517439657476382,0.9551349983573916,0.9581714793050045,0.9557359800064974,0.9578038998570715,0.9566409798506952,0.9541486525541799,0.9482594465828477,0.9425068426884095,0.9216505738592177,0.8905094555227903,0.8871178116619026,0.8817700355180971,0.8798336879276213,0.8850267908539838,0.8998559506309467,0.9149010292514715,0.91749401752044,0.9166770308330927,0.9167427331882201,0.9137867538017341,0.906805420884735,0.8960363050735648,0.880889420799659,0.8671803332379173,0.8581149859530536,0.8529008246575691
blocks.9,0.15466496749358377,0.17062917321420884,0.6221245884184752,0.7027502672719333,0.7012188818007259,0.7273118286237461,0.7489152463412585,0.7976634665875018,0.8338984218912632,0.8689757221985496,0.8989991171423937,0.9146468287350349,0.9294493625446847,0.9419512655762073,0.9480603795896295,0.9547769478235449,0.9557914462826851,0.9606849030382952,0.9624554058468165,0.9621410853288959,0.9582144389558985,0.9537020687416943,0.9333833869042156,0.9016574353240825,0.8993296838122824,0.8943394278446544,0.8914416840692096,0.8966470038623447,0.9121725274119026,0.9283137703519532,0.9311017827185968,0.9296641051072749,0.9290527915559516,0.9262568820757358,0.9182973392841901,0.9081360244479019,0.894510865027914,0.8820341278373836,0.872851885375559,0.8648393308232325
