,layer1,layer2,layer3
blocks.0,0.29595593047042273,0.29709168059896274,0.2834962323766969
blocks.1,0.29948286428041865,0.3054962552666853,0.2968240515343464
blocks.2,0.51594577871616,0.5588611370623483,0.5701016845545159
blocks.3,0.6665771208314886,0.6845641045994942,0.67310847448121
blocks.4,0.7097629765079813,0.745853493569101,0.7508480003693431
blocks.5,0.6921345286398471,0.7603701856302315,0.7912791040043198
blocks.6,0.6582059215266922,0.7456037257191724,0.7916410811148576
blocks.7,0.6622771467203328,0.7466633687844826,0.7921566181396058
blocks.8,0.631248403605544,0.7284490308452493,0.785188935441872
blocks.9,0.5927486320186297,0.7064681333452012,0.7776912021059093
blocks.10,0.5580075939596958,0.6841071305795157,0.7659510775117646
blocks.11,0.5358928288748238,0.6705640352324931,0.7622612450909633
blocks.12,0.5330998120969878,0.6672191509348081,0.7599062697562983
blocks.13,0.5175023802798502,0.6452138604135921,0.7338808834421499
blocks.14,0.5133671382519042,0.6403370951059222,0.7293125874871978
blocks.15,0.518590140129578,0.6498886201875913,0.7413902279284903
blocks.16,0.5242771942006572,0.6618041327877356,0.7557826098543942
blocks.17,0.5423086344477789,0.6753737422385572,0.7667343176621556
blocks.18,0.5220733437839415,0.6572687041782105,0.749768968865707
blocks.19,0.5143192871252829,0.6517382598257347,0.7464910006412665
blocks.20,0.5100365444024536,0.6442327191466363,0.7383575265003159
blocks.21,0.5011010718870528,0.6346392966975503,0.7280546250654942
blocks.22,0.4828882382867188,0.6171616932207975,0.7121570396768141
blocks.23,0.4812438731951657,0.6086923208926628,0.7007582029669848
