model_a,model_b,divergence_depth,early_similarity,late_similarity,early_minus_late,threshold
uni_v2,resnet50,1.0,0.9387611234865623,0.8020636545627551,0.13669746892380719,0.5
uni_v2,conch_v1,1.0,0.9667124322152532,0.865654339254766,0.10105809296048718,0.5
conch_v1,resnet50,1.0,0.9660999389068614,0.8958079995408154,0.07029193936604605,0.5
conch_v1,ctranspath,1.0,0.956256175070772,0.9020981213294539,0.0541580537413181,0.5
uni_v2,ctranspath,1.0,0.926680462505487,0.885840301549628,0.04084016095585896,0.5
conch_v1,gigapath,1.0,0.839916922296667,0.7995941653744288,0.04032275692223819,0.5
uni_v2,gigapath,1.0,0.8499623550532773,0.8168420639733588,0.03312029107991854,0.5
ctranspath,resnet50,1.0,0.898375636620516,0.9206567364229171,-0.022281099802401116,0.5
ctranspath,gigapath,1.0,0.8955899063572158,0.9259303153863285,-0.030340409029112725,0.5
gigapath,resnet50,1.0,0.7536037460712965,0.8520288170609341,-0.0984250709896376,0.5
