,layers.0.blocks.0,layers.1.blocks.0,layers.2.blocks.0,layers.3.blocks.0,layers.0.blocks.1,layers.1.blocks.1,layers.2.blocks.1,layers.3.blocks.1,layers.2.blocks.2,layers.2.blocks.3,layers.2.blocks.4,layers.2.blocks.5
trunk.blocks.0,0.9279587471464691,0.8161202308205963,0.844974999247061,0.6629161463311358,0.9326745756672311,0.8042345090088393,0.8533996197654248,0.610298400391452,0.8565131225552807,0.8690551462757498,0.8727030939000846,0.8915632349471665
trunk.blocks.1,0.970891950523435,0.8786870725321383,0.941649464768624,0.7222699905507586,0.9773752665641945,0.8897037195722807,0.938829812806207,0.6217408548133406,0.9301096903369028,0.9218774754135078,0.9102641771549744,0.9045176156365734
trunk.blocks.2,0.9165940106770193,0.8516949969260971,0.956258643141587,0.7056125627860715,0.9295538180039518,0.8856157814864647,0.9373963481744095,0.5720528679292707,0.9139963720604443,0.8863863150980585,0.8607385898363148,0.8353882850997792
trunk.blocks.3,0.8902594704425737,0.8508748208902855,0.9587162149100754,0.7334896357564363,0.9034139984071626,0.8897323167181959,0.9381093355603312,0.5992510513919184,0.9152818560972722,0.8849937224846656,0.8580064056152209,0.8256835623715427
trunk.blocks.4,0.8679887961674105,0.8743103428096434,0.9589321919586831,0.8046338825220851,0.8749968157381556,0.9120192253116316,0.9433471227909476,0.6714515121253888,0.9268029243514049,0.8986293989304829,0.8735536567352021,0.8341317260213764
trunk.blocks.5,0.8263069758647972,0.8686415410946089,0.9342028069509987,0.8483034085377524,0.8278025697478439,0.9047902431428483,0.9264710704625122,0.7117296380727699,0.9157159111433706,0.8903783645069329,0.8667477903445984,0.8224426015609397
trunk.blocks.6,0.8152226834698705,0.8715152803004357,0.9268087758363275,0.8697224831663296,0.815386601853401,0.9054337176155056,0.9218518350090656,0.7432188445408028,0.9147434582385804,0.89314443120511,0.8725712399619074,0.8284213511528573
trunk.blocks.7,0.8074780971345086,0.8646123192012587,0.9244349640853144,0.8648109300650412,0.8093654904317337,0.8996223342636832,0.9163210548701679,0.7403592155373822,0.9082042825210024,0.8854901467398582,0.8654174427390869,0.8215335076846629
trunk.blocks.8,0.7934956780699218,0.8655319254690292,0.9133451472655756,0.8783864378519916,0.7937019174815998,0.8985742150962277,0.9055594250159077,0.7593099858152189,0.8993823165821836,0.8777120008534476,0.859796268703813,0.8159120118034664
trunk.blocks.9,0.7824608726858154,0.8651624974638674,0.8990969680435523,0.8951380562613824,0.7810522243960728,0.8942311222241845,0.8954447048106448,0.7824441546218374,0.8937259345628076,0.8743286700081975,0.859061071687538,0.8152165632313629
trunk.blocks.10,0.7672084808862836,0.8628330607016442,0.8813002808626575,0.9055125942125499,0.7634231866218741,0.8880128510130207,0.8813322156213541,0.79677702786398,0.8830627369216117,0.8653714515815777,0.8523281998982036,0.8078463690011699
trunk.blocks.11,0.7629517866084187,0.8479902849516593,0.8768333547503888,0.890437775796138,0.7623414287493995,0.8748705810240143,0.8766185634799788,0.7790620323535212,0.8772703211336532,0.8573196637923842,0.8436234503236758,0.7985153361471944
