,blocks.0,blocks.1,blocks.2,blocks.3,blocks.4,blocks.5,blocks.6,blocks.7,blocks.8,blocks.9,blocks.10,blocks.11,blocks.12,blocks.13,blocks.14,blocks.15,blocks.16,blocks.17,blocks.18,blocks.19,blocks.20,blocks.21,blocks.22,blocks.23,blocks.24,blocks.25,blocks.26,blocks.27,blocks.28,blocks.29,blocks.30,blocks.31,blocks.32,blocks.33,blocks.34,blocks.35,blocks.36,blocks.37,blocks.38,blocks.39
trunk.blocks.0,0.8106507718739394,0.8292306213006059,0.9147963834222874,0.9052932554013696,0.9030581568272291,0.9035119542451324,0.903940768966314,0.9038807798203683,0.9045025257630548,0.9049311435398529,0.9055807718085189,0.906470616395612,0.9073508491851223,0.908525303641256,0.9096252308131916,0.9108641318561882,0.9123065631107927,0.9145144398926445,0.9165344447098716,0.9186030296357912,0.9207906034240628,0.9229272532786343,0.9253043341863393,0.9273872437239111,0.9309660488324208,0.9336763924642636,0.9378555050336177,0.9400738756198698,0.9413879108134527,0.9412674599873392,0.9408351627693164,0.9392731773689985,0.9358304578377719,0.9319040203864819,0.9270542101143854,0.9209659235789521,0.913247343743491,0.9020721503023844,0.8934152071689424,0.8794651462389139
trunk.blocks.1,0.6796412557666488,0.6985134552066643,0.7878424949466682,0.7698716794428112,0.7648788994149606,0.7651889303268276,0.7660204157842168,0.7661957774605272,0.7673233396730661,0.7681158479318614,0.7694562749383997,0.7710779789565843,0.7725810816754652,0.7746455972398768,0.7764840454556385,0.7785418962971664,0.7810297476323379,0.7846817348689813,0.7879280795226645,0.7916729830269885,0.7956131792035707,0.799434093373951,0.803637091797021,0.8089787894173518,0.8157365678073872,0.8218694165004023,0.831843416029295,0.8385844322947666,0.8444597307237783,0.8512052231484062,0.8572910888853527,0.8619508919555837,0.8653647091897986,0.8671114379876123,0.8686226064714854,0.8700293608333058,0.869346200829388,0.8671596982385915,0.864131066225956,0.8581935804461361
trunk.blocks.2,0.5074984553967512,0.5258650406629921,0.6237704964241199,0.6008250773000275,0.594234765932647,0.5944108835798984,0.595536537469816,0.5957482176014938,0.5972161815186029,0.5982774448528135,0.6000431867346185,0.6021939078253096,0.6041628854042683,0.6068809249517254,0.6092014324324616,0.6118107060324015,0.6149066442709805,0.6196211562590588,0.6236688598824969,0.6285554693573373,0.6337254334797467,0.6385652850575188,0.643999900183709,0.6517604350918264,0.6609626796301125,0.6695064573682938,0.6837865959306322,0.6937460305258875,0.7031370305023587,0.7151307976202115,0.7265546435179088,0.7362122010328421,0.7445170997894115,0.7510938985799681,0.7578899382652237,0.7649121498922082,0.7702254564800636,0.7750253764587184,0.7762577893959419,0.7770163436221972
trunk.blocks.3,0.47116408155768386,0.48849571731749675,0.5768136892598112,0.554038356183074,0.5473882622609333,0.5475371496203839,0.5487479409384162,0.5490324637580876,0.550564463207592,0.5517458267825783,0.5536694969743252,0.5559812321661034,0.558075263859993,0.560937622367271,0.5635168699891999,0.5663778884988449,0.5697675992547837,0.5748358679224893,0.5792911782437793,0.5846190905262778,0.5903579480745264,0.5958852104485577,0.6020552392530277,0.6109833352892018,0.6209213738799155,0.630605933515274,0.6461873956617443,0.6577198918748204,0.6686639311377912,0.6829223098716781,0.6969443723635788,0.7086946310194275,0.7193495917851294,0.7283431044967513,0.7376585863542153,0.7472736709485158,0.7553218370059479,0.763354335924577,0.7670155401262023,0.7712340739177125
trunk.blocks.4,0.45539137556964276,0.47166705481120447,0.5355041978718535,0.5133405196884616,0.506825107122779,0.5070070313721715,0.5083524481453682,0.5088559908925409,0.5104203531430594,0.5117665599014978,0.513860078714152,0.5163024126280026,0.5184615927340411,0.5213786200835712,0.5243116860130431,0.5275340740276351,0.5313935586574307,0.5368914745099883,0.5419954023508206,0.5479078919206568,0.5545574034212893,0.5613059225502793,0.5688047572305934,0.5793694174099303,0.5900152300858867,0.6014097990727563,0.6180146266333403,0.63198957927969,0.6454612305713321,0.6629382033603511,0.6806666816679812,0.6953768713086368,0.7100058272812084,0.7227536453782635,0.7362918568590563,0.7499885276199836,0.761932815460527,0.7748718144650001,0.78200781824204,0.7913747192583264
trunk.blocks.5,0.42180722245373914,0.43776539209738413,0.4830659790122433,0.46088226620066974,0.4544994096028335,0.4547431607054886,0.4562005061996809,0.45685776908883224,0.45841566983348453,0.45984444167873706,0.4620018254479122,0.4644920462843602,0.4666556175030345,0.46958093637884957,0.47273901899786164,0.4762250473379656,0.48039727328453946,0.48620536395110925,0.49180059793770176,0.49811072174335685,0.5055391627903109,0.5132809326734006,0.5219041790678961,0.5337682493843198,0.5449118806855522,0.5576239829664914,0.5746638645255435,0.590403681840928,0.605973272478091,0.625821669194475,0.6463668968336341,0.6636490895263798,0.6817603221363113,0.6977293528409612,0.715352576477291,0.7330578779182211,0.7487395700708256,0.7665602833872097,0.776675521208143,0.7911630100405631
trunk.blocks.6,0.423707618184301,0.4394520696446967,0.47353637441980706,0.4516140187009549,0.4453334791998265,0.445660211490861,0.4471465976526768,0.44785507386895534,0.44938362136789606,0.4508293868972993,0.45300060431639444,0.4554878733767232,0.45764071247728416,0.46053609336602935,0.46377757213529663,0.46734696390929387,0.471635614550208,0.4775050840715821,0.48326637462815863,0.4896534000747003,0.4972593211978211,0.5052841152058144,0.5142553087187578,0.5264511384621112,0.5376047952016543,0.5506885888736005,0.5676458069266868,0.5838040019453911,0.5999789197968416,0.6202892568674153,0.6415795987843282,0.6594250465604081,0.6784006905632195,0.6951424659294662,0.713955738716184,0.7327840626971406,0.7496332402170806,0.7690215384942134,0.7806250846375712,0.7969512820790616
trunk.blocks.7,0.4119478175421035,0.4274580993974562,0.4633774828648674,0.44173559662566747,0.43544299900932404,0.43577353850659745,0.4372480784552103,0.43792348466677994,0.4394541834422738,0.44088422249105436,0.4430577967257768,0.44555827901863443,0.44771743274749276,0.45062799615269117,0.4538466982241621,0.4574002149108345,0.46166677444923726,0.46754206338974874,0.4732665713970064,0.4796848771719726,0.48727806913809457,0.4952903353461491,0.504291259436365,0.5166061961950609,0.5279258624002089,0.5411371615335261,0.5585671121985689,0.5748932096726768,0.5912903464679256,0.611986115171509,0.6336155000714085,0.6516932593816699,0.6706164401968243,0.687490910175487,0.7061877582052025,0.7249330438941912,0.7418108271031308,0.7611556510350992,0.7728740133622639,0.7893766186255812
trunk.blocks.8,0.4066264817158347,0.4222325655169577,0.4510238405711517,0.4296287235993717,0.4233284512375075,0.4236814985950292,0.42518455071766487,0.4259272425481296,0.4274309742908494,0.42887816169359244,0.4310577017873815,0.43353460734179194,0.43565099283545716,0.4385005968478925,0.4417347643059925,0.4453081860311641,0.4496204630664108,0.4554733478916155,0.46123375133687455,0.4676830899791988,0.4753623769616805,0.48353266253757393,0.4927621546830438,0.5053491088734495,0.5166138883605472,0.5300912035981852,0.5475283796431423,0.564328193175911,0.581372634556187,0.6028358696871624,0.6252389083333588,0.6439701751211424,0.6637458817350085,0.6814654482468778,0.7009713724114001,0.7204719737639136,0.738029571776685,0.7582290004025243,0.7706392759894586,0.7882689765639141
trunk.blocks.9,0.4221949535201393,0.4368035262951824,0.4487344799684548,0.4297817774701409,0.4238433787041023,0.42420253857973417,0.4256866231128157,0.42649788123145743,0.427941976588469,0.4293777930220539,0.43153064868271435,0.43394631587410437,0.4360009689431333,0.43873477023038077,0.441972212415728,0.44554885718326437,0.44990508027793275,0.45567800736820735,0.4615181322940715,0.4680094638713921,0.4757467045478612,0.4841956658930546,0.4936739116641863,0.5065478474202078,0.5178179223374078,0.5315540374728598,0.5487406208385313,0.5661456389101833,0.5837174190913635,0.6057684135162842,0.6288842309138813,0.6483680710016598,0.6692944373537769,0.6880908543173231,0.7086471503913263,0.7290690409490023,0.747434135964141,0.7684717825130836,0.7816074774383833,0.8000848312111634
