,layer1,layer2,layer3
trunk.blocks.0,0.9204098814357693,0.8254504776227078,0.690765527007767
trunk.blocks.1,0.9831570499505127,0.9508821327141638,0.8610543932634886
trunk.blocks.2,0.9538718765316019,0.9823824894638237,0.9383350245982717
trunk.blocks.3,0.9274566709593346,0.9784503347773403,0.9568815637596946
trunk.blocks.4,0.884851276255194,0.9599371660564588,0.9644570557566038
trunk.blocks.5,0.823554077538445,0.9187645655504706,0.9463836962472775
trunk.blocks.6,0.8066708561854047,0.9063958913348812,0.9377541853749657
trunk.blocks.7,0.8041595344242445,0.9049391625769732,0.9366846231937332
trunk.blocks.8,0.7840875205962411,0.888576200266588,0.9255256520000406
trunk.blocks.9,0.7621602316793649,0.8650366996209083,0.9043967062356131
trunk.blocks.10,0.7351938008015224,0.836727443315528,0.8779646074060268
trunk.blocks.11,0.7346675418995058,0.8340321927764205,0.8753450325215809
