,blocks.0,blocks.1,blocks.2,blocks.3,blocks.4,blocks.5,blocks.6,blocks.7,blocks.8,blocks.9,blocks.10,blocks.11,blocks.12,blocks.13,blocks.14,blocks.15,blocks.16,blocks.17,blocks.18,blocks.19,blocks.20,blocks.21,blocks.22,blocks.23,blocks.24,blocks.25,blocks.26,blocks.27,blocks.28,blocks.29,blocks.30,blocks.31,blocks.32,blocks.33,blocks.34,blocks.35,blocks.36,blocks.37,blocks.38,blocks.39
layers.0.blocks.0,0.7592748579746567,0.7759308009734491,0.8432395267766554,0.830213126853581,0.8259882205540344,0.826182873346753,0.8270225779396744,0.8273947852996156,0.8283643315363066,0.8292032460219732,0.8305156682437751,0.8320179456708892,0.833342844151866,0.8351223972067698,0.8369075073592486,0.8388700578831421,0.8412593230911966,0.8445161672384798,0.8475759628557791,0.8510050955031299,0.8547742504079594,0.8586131268386843,0.8628287095542404,0.868253685899849,0.8738388405183095,0.8795887346176288,0.8876042062390604,0.893803623421284,0.8998940510586853,0.906606829574428,0.9126697069583307,0.9170968929924446,0.9204708787595816,0.9216485378700445,0.9224481091193246,0.9224226350375249,0.9205958476757082,0.9166313511787584,0.9118787512765797,0.9046423778088221
layers.1.blocks.0,0.6982793929188208,0.7122703575341252,0.7275490182761419,0.71478656921832,0.7105388446964008,0.7108705266027383,0.7120376743313719,0.712940077918427,0.7139677528597728,0.7151808422004889,0.7168634697787823,0.7186281766288172,0.7200406282220689,0.7218786495965973,0.7243715389165836,0.7270110169158092,0.730308442196938,0.7342746818696139,0.7384656137746025,0.742844644139522,0.7482146282260604,0.7541939217814283,0.7608930461741907,0.7693825514115248,0.7757383791040967,0.7847605523666031,0.7944981287072119,0.8054045533456057,0.816928339795412,0.8304805901671162,0.8441618950505609,0.8544570656817384,0.865376072442263,0.8731750346418302,0.8824413928947242,0.8901770861160382,0.8959879003073864,0.901679452638484,0.9042130888874966,0.9077220866076667
layers.2.blocks.0,0.6211896137138418,0.6383246458391519,0.6989084965753245,0.680485871827614,0.6752028542181291,0.6755225778779586,0.6767230910151184,0.6771976715529455,0.6785252547832397,0.6797124674065581,0.681492092329908,0.6835970423630371,0.6854530782838419,0.6879141812562425,0.6904695646288304,0.6932434975298515,0.6965663038352519,0.7012423345393026,0.7056495008434549,0.710562188219322,0.7161869745435246,0.7219563263061409,0.7284751697817426,0.7372555475850854,0.7458301121103116,0.7552661426779411,0.7683193066418812,0.7793097793794216,0.7901577633591211,0.8035090020064115,0.8169601583263858,0.8277536487755479,0.8379275564628924,0.8459947015631111,0.8549845960359446,0.8632102930857536,0.8700207421503411,0.8762301128856114,0.8788560843637738,0.8812908126013415
layers.3.blocks.0,0.5746436218272472,0.5868399031304462,0.5564952918920337,0.5451325104797671,0.5418764071151141,0.5426007792549741,0.5438491086851003,0.5449515135869265,0.545904510236654,0.5472101477322078,0.5489865554144072,0.5508348075658022,0.5523341953362315,0.554188618234863,0.5572405724074802,0.5605042368798001,0.564527476839795,0.5692756049180406,0.5747717565707121,0.5802834466555737,0.5873295940922982,0.5958793111292393,0.6054609745129319,0.6169943429181655,0.6253328208538413,0.6378030868875131,0.649739329534408,0.6654484909941015,0.681311429203859,0.6999194671419045,0.7205571490010816,0.736458508425299,0.7548971252563238,0.7710356103211591,0.7900277127185548,0.8071544688952721,0.8226741364339527,0.8412471106345882,0.8541341507929591,0.8708986171005305
layers.0.blocks.1,0.7477284735160151,0.7646654271686456,0.8380626866553095,0.8254758768764076,0.8212957781340922,0.8215262517838555,0.8223490715381853,0.8226171042793194,0.8236066460137604,0.8244019150625767,0.8256893845681246,0.8272160490494733,0.8286020867910507,0.8304592928017567,0.8322146931079877,0.8341504768677055,0.8364982073523354,0.8398055995271015,0.8428233165941568,0.8462941968250868,0.8499720457443868,0.853706080338076,0.8577665738229469,0.8630947688756943,0.8690259397294077,0.8747063751571245,0.8831606310089257,0.8892860930118873,0.8950747536990386,0.9015161114917302,0.9072121097648338,0.9115155983006973,0.9144398812483059,0.9153330373919307,0.9155342513884526,0.9150578986575119,0.9130040290197682,0.908588609627927,0.903490049083252,0.8956964860307016
layers.1.blocks.1,0.658979295040946,0.6737270432579527,0.6963411492799695,0.6815182266745687,0.6767346110124359,0.6770280922817674,0.6782728628865232,0.6791312478366389,0.6802941056412191,0.6815874981377401,0.6834058664779508,0.6853622342417512,0.6869665182382471,0.689057889677182,0.6917078338964655,0.6945181773381432,0.697997817400288,0.7023520174632059,0.7068064273255001,0.7115443980511833,0.7172652024823549,0.7235063180916883,0.7304998519315453,0.739636166757916,0.7468922643637109,0.7565730510686132,0.7678279992990746,0.7795468384288488,0.791725002327004,0.8064338586120957,0.8213362194928594,0.832856137022859,0.8448758776770001,0.8538821150761297,0.8643113207061183,0.8734906356931976,0.8808360122404092,0.8882373030896284,0.8918544511594295,0.8967386614163323
layers.2.blocks.1,0.6439273890586352,0.6598737785442281,0.7068304055029551,0.6908532050324457,0.686198978091999,0.6866754452599895,0.6878661467913413,0.6883922490534466,0.6896599648375377,0.6908498714719868,0.6925981696524538,0.6946644207133282,0.6965113977474727,0.6989151484817305,0.7015469433772293,0.7043448724937876,0.7077547524540293,0.7124452730239914,0.7170352437179395,0.7220015562442027,0.7277402939589518,0.7338686637439688,0.7407463374042292,0.7496797466783388,0.7583152602831145,0.767949276808951,0.7805902073099313,0.7918105152752025,0.8027532223725108,0.8158470580415648,0.8294320178648518,0.8402757315835792,0.850999057515785,0.859503693501303,0.8693107676986217,0.8782721492096223,0.8858026621646276,0.8929478853442612,0.896590633834799,0.8998699618886986
layers.3.blocks.1,0.550685143940484,0.5621736207043964,0.5078761593439124,0.5005350111661583,0.49820362775036114,0.4992362375860104,0.5003086581465929,0.5013231794255403,0.5019836188727913,0.5030427946934437,0.5045042973335526,0.5059249537469924,0.507102019656607,0.508456606565033,0.5112074822539813,0.5141105447824522,0.517758014422776,0.5217218058339747,0.5266979945033272,0.5314770439843685,0.5374942400429173,0.5453981602299117,0.5541610598889031,0.5638632373826399,0.5710370141495045,0.5819679631238188,0.5912742913959311,0.6054784002791908,0.6192065411192978,0.6339845866350393,0.651687695266154,0.664535906793583,0.6804917322603644,0.6947287983869673,0.7111303538150173,0.7253547456698756,0.7385241712975038,0.7558232326101305,0.7698905128976425,0.7865954724606902
layers.2.blocks.2,0.6661601781735254,0.6809993083244963,0.7141836719904877,0.6999091108447257,0.695697548181864,0.6962835228997328,0.6974535778777743,0.6980536884964621,0.6992512750783866,0.7004283349615295,0.7021436189457352,0.7041418440105195,0.705931925014476,0.7082321303454181,0.7109087836664834,0.7137209468883267,0.7171813378725564,0.7218008737267892,0.7264877219768773,0.7314524419340657,0.7372379001473742,0.7436170782837349,0.7507457301769325,0.7597475803137301,0.7682198592333089,0.7780021303738022,0.7901141821477601,0.8015548550733124,0.8126876479198726,0.8257148271915131,0.8395001085766762,0.8504062996914489,0.8615606150073412,0.8704190273331432,0.8808727948316026,0.8903387848627035,0.898439822284844,0.9064136643336614,0.9110759430151608,0.9151584301175334
layers.2.blocks.3,0.690240038782272,0.7046050287460505,0.727999671537538,0.71441686931862,0.7107599188342474,0.7114871638149033,0.7126010140139796,0.7132173890235457,0.7143237093973357,0.7154527820103002,0.717078643794291,0.7189720332187761,0.7206832006712302,0.7228520437013399,0.7255246757229694,0.728320536588251,0.7317446205276031,0.7362617126588485,0.7409761409928302,0.7458197797954285,0.7515535371183933,0.7580192517642326,0.7652630497990756,0.7739494827951136,0.7820763907630147,0.7917154572801437,0.8029360770064002,0.8141206068647063,0.8249585489842192,0.8371054116894878,0.8503290951696297,0.8605434267635846,0.8711727608312804,0.8796941760380461,0.8902936205639418,0.8996553792372314,0.9078103696161142,0.915944023822105,0.9212198469322397,0.9253892359859802
