,layer1,layer2,layer3
layers.0.blocks.0,0.9672268174652316,0.9305065316343857,0.8364384013900742
layers.1.blocks.0,0.8665802187929281,0.8838688939620891,0.8339337699403874
layers.2.blocks.0,0.9454959644798516,0.9763893197987107,0.9348452229701857
layers.3.blocks.0,0.6994001330208326,0.7537221499860214,0.7660175152560326
layers.0.blocks.1,0.9799960969507975,0.9421274234233625,0.8463623124393866
layers.1.blocks.1,0.8815102340891796,0.9151328402213986,0.8763541974323986
layers.2.blocks.1,0.9386919679377125,0.964574334207032,0.9210731799341191
layers.3.blocks.1,0.5907771603125824,0.621190567729814,0.6138869719424166
layers.2.blocks.2,0.9261444361443734,0.9466731196918812,0.9031562073537638
layers.2.blocks.3,0.9177516797122641,0.9262445178369564,0.8772532284158671
layers.2.blocks.4,0.9058840177600095,0.9048757989749069,0.8521530984565152
layers.2.blocks.5,0.9038252904028216,0.8822974819617727,0.8173985573561231
