,layer1,layer2,layer3
blocks.0,0.6772459605009659,0.5566551146043963,0.42202441608373475
blocks.1,0.6945802963473587,0.5735490883884168,0.43759610047949865
blocks.2,0.7829312511876968,0.6489533027387769,0.49893998815872853
blocks.3,0.7657131162135057,0.626836813567684,0.47327820579112256
blocks.4,0.7611503821540496,0.6208273631771214,0.46676514792840385
blocks.5,0.7614865159314663,0.6210983441873391,0.4668940777542377
blocks.6,0.7622804110833147,0.6222540941704827,0.46823211604769316
blocks.7,0.7623362869608973,0.6225397566478417,0.46869031372210135
blocks.8,0.7634392474215532,0.62395465737052,0.4702702384181557
blocks.9,0.7642208287672098,0.6251009166594247,0.47164361281446104
blocks.10,0.765520777448223,0.6268940232893028,0.4737227674766168
blocks.11,0.7671779555198005,0.6290747761011842,0.4761983948175966
blocks.12,0.7687656693908125,0.6310930658450877,0.4784358114822031
blocks.13,0.770893162456819,0.633794119205725,0.48147442653461947
blocks.14,0.7727071797197176,0.6363137504839879,0.48442736430961375
blocks.15,0.7747373682302559,0.6390593571254211,0.48766172070606634
blocks.16,0.7770908602559212,0.6423135409164313,0.4915239707996018
blocks.17,0.7807743805123065,0.6471509042490442,0.4971580108681436
blocks.18,0.78393778654814,0.6514775163913631,0.5022985422724217
blocks.19,0.7876447369124696,0.6564017715501401,0.5081488021770466
blocks.20,0.7914790548084258,0.661805282662927,0.5148061278580606
blocks.21,0.7951584880690027,0.6670467382303749,0.5213371982287496
blocks.22,0.7992286298009601,0.6729884394801967,0.5287861981969372
blocks.23,0.8043905405197377,0.6810511794102977,0.5390342426365604
blocks.24,0.811279288862075,0.6900946632002181,0.5495731707072726
blocks.25,0.8172513730156438,0.6990511309928639,0.5609028693292482
blocks.26,0.8272354172748521,0.7128005741944888,0.5772384535072013
blocks.27,0.8334476814124206,0.7230532782452628,0.5908040707490433
blocks.28,0.8390359609912971,0.7329872204717217,0.6042765032507136
blocks.29,0.8452668098276306,0.7452340420117023,0.6214487262148549
blocks.30,0.8509419017681265,0.7574897204317208,0.639025712734099
blocks.31,0.8554147032689671,0.7677381287973578,0.654193465355423
blocks.32,0.8578866621129619,0.7769337922705744,0.6693519015141426
blocks.33,0.8590421348937555,0.7842944853673739,0.682744483055273
blocks.34,0.8599582080847229,0.7925081008702636,0.6972629460698877
blocks.35,0.8605163983755343,0.8006539669563405,0.712549537500645
blocks.36,0.8598097078047916,0.8075153530365705,0.7263492906285804
blocks.37,0.8566475267646382,0.8133137073818644,0.7403277166613998
blocks.38,0.8528805980231452,0.8157344263131804,0.747721928358304
blocks.39,0.8455263284641554,0.8170581317981392,0.7568663900939693
