layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
trunk.blocks.0,0.0,layers.0.blocks.1,0.36363636363636365,0.9326745756672311,0.9279587471464691,0.36363636363636365
trunk.blocks.1,0.09090909090909091,layers.0.blocks.1,0.36363636363636365,0.9773752665641945,0.8786870725321383,0.2727272727272727
trunk.blocks.2,0.18181818181818182,layers.2.blocks.0,0.18181818181818182,0.956258643141587,0.956258643141587,0.0
trunk.blocks.3,0.2727272727272727,layers.2.blocks.0,0.18181818181818182,0.9587162149100754,0.7334896357564363,-0.09090909090909088
trunk.blocks.4,0.36363636363636365,layers.2.blocks.0,0.18181818181818182,0.9589321919586831,0.8749968157381556,-0.18181818181818182
trunk.blocks.5,0.45454545454545453,layers.2.blocks.0,0.18181818181818182,0.9342028069509987,0.9047902431428483,-0.2727272727272727
trunk.blocks.6,0.5454545454545454,layers.2.blocks.0,0.18181818181818182,0.9268087758363275,0.9218518350090656,-0.3636363636363636
trunk.blocks.7,0.6363636363636364,layers.2.blocks.0,0.18181818181818182,0.9244349640853144,0.7403592155373822,-0.45454545454545453
trunk.blocks.8,0.7272727272727273,layers.2.blocks.0,0.18181818181818182,0.9133451472655756,0.8993823165821836,-0.5454545454545454
trunk.blocks.9,0.8181818181818182,layers.2.blocks.0,0.18181818181818182,0.8990969680435523,0.8743286700081975,-0.6363636363636365
trunk.blocks.10,0.9090909090909091,layers.3.blocks.0,0.2727272727272727,0.9055125942125499,0.8523281998982036,-0.6363636363636364
trunk.blocks.11,1.0,layers.3.blocks.0,0.2727272727272727,0.890437775796138,0.7985153361471944,-0.7272727272727273
