layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
trunk.blocks.0,0.0,blocks.28,0.717948717948718,0.9413879108134527,0.8106507718739394,0.717948717948718
trunk.blocks.1,0.09090909090909091,blocks.35,0.8974358974358975,0.8700293608333058,0.7648788994149606,0.8065268065268065
trunk.blocks.2,0.18181818181818182,blocks.39,1.0,0.7770163436221972,0.5957482176014938,0.8181818181818181
trunk.blocks.3,0.2727272727272727,blocks.39,1.0,0.7712340739177125,0.5559812321661034,0.7272727272727273
trunk.blocks.4,0.36363636363636365,blocks.39,1.0,0.7913747192583264,0.5243116860130431,0.6363636363636364
trunk.blocks.5,0.45454545454545453,blocks.39,1.0,0.7911630100405631,0.49180059793770176,0.5454545454545454
trunk.blocks.6,0.5454545454545454,blocks.39,1.0,0.7969512820790616,0.5052841152058144,0.4545454545454546
trunk.blocks.7,0.6363636363636364,blocks.39,1.0,0.7893766186255812,0.5411371615335261,0.36363636363636365
trunk.blocks.8,0.7272727272727273,blocks.39,1.0,0.7882689765639141,0.581372634556187,0.2727272727272727
trunk.blocks.9,0.8181818181818182,blocks.39,1.0,0.8000848312111634,0.6692944373537769,0.18181818181818177
trunk.blocks.10,0.9090909090909091,blocks.39,1.0,0.8077703345440522,0.7347264952276537,0.09090909090909094
trunk.blocks.11,1.0,blocks.39,1.0,0.8022525191785856,0.8022525191785856,0.0
