layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
trunk.blocks.0,0.0,layer1,0.0,0.9204098814357693,0.9204098814357693,0.0
trunk.blocks.1,0.09090909090909091,layer1,0.0,0.9831570499505127,0.9831570499505127,-0.09090909090909091
trunk.blocks.2,0.18181818181818182,layer2,0.5,0.9823824894638237,0.9538718765316019,0.3181818181818182
trunk.blocks.3,0.2727272727272727,layer2,0.5,0.9784503347773403,0.9784503347773403,0.2272727272727273
trunk.blocks.4,0.36363636363636365,layer3,1.0,0.9644570557566038,0.9599371660564588,0.6363636363636364
trunk.blocks.5,0.45454545454545453,layer3,1.0,0.9463836962472775,0.9187645655504706,0.5454545454545454
trunk.blocks.6,0.5454545454545454,layer3,1.0,0.9377541853749657,0.9063958913348812,0.4545454545454546
trunk.blocks.7,0.6363636363636364,layer3,1.0,0.9366846231937332,0.9049391625769732,0.36363636363636365
trunk.blocks.8,0.7272727272727273,layer3,1.0,0.9255256520000406,0.888576200266588,0.2727272727272727
trunk.blocks.9,0.8181818181818182,layer3,1.0,0.9043967062356131,0.9043967062356131,0.18181818181818177
trunk.blocks.10,0.9090909090909091,layer3,1.0,0.8779646074060268,0.8779646074060268,0.09090909090909094
trunk.blocks.11,1.0,layer3,1.0,0.8753450325215809,0.8753450325215809,0.0
