layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
layers.0.blocks.0,0.0,blocks.34,0.8717948717948718,0.9224481091193246,0.7592748579746567,0.8717948717948718
layers.1.blocks.0,0.09090909090909091,blocks.39,1.0,0.9077220866076667,0.7105388446964008,0.9090909090909091
layers.2.blocks.0,0.18181818181818182,blocks.39,1.0,0.8812908126013415,0.6771976715529455,0.8181818181818181
layers.3.blocks.0,0.2727272727272727,blocks.39,1.0,0.8708986171005305,0.5508348075658022,0.7272727272727273
layers.0.blocks.1,0.36363636363636365,blocks.34,0.8717948717948718,0.9155342513884526,0.8322146931079877,0.5081585081585082
layers.1.blocks.1,0.45454545454545453,blocks.39,1.0,0.8967386614163323,0.7068064273255001,0.5454545454545454
layers.2.blocks.1,0.5454545454545454,blocks.39,1.0,0.8998699618886986,0.7338686637439688,0.4545454545454546
layers.3.blocks.1,0.6363636363636364,blocks.39,1.0,0.7865954724606902,0.5819679631238188,0.36363636363636365
layers.2.blocks.2,0.7272727272727273,blocks.39,1.0,0.9151584301175334,0.8126876479198726,0.2727272727272727
layers.2.blocks.3,0.8181818181818182,blocks.39,1.0,0.9253892359859802,0.8711727608312804,0.18181818181818177
layers.2.blocks.4,0.9090909090909091,blocks.39,1.0,0.9324220937970941,0.9072658132437506,0.09090909090909094
layers.2.blocks.5,1.0,blocks.39,1.0,0.9307515016447068,0.9307515016447068,0.0
