layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
layers.0.blocks.0,0.0,layer1,0.0,0.9672268174652316,0.9672268174652316,0.0
layers.1.blocks.0,0.09090909090909091,layer2,0.5,0.8838688939620891,0.8665802187929281,0.40909090909090906
layers.2.blocks.0,0.18181818181818182,layer2,0.5,0.9763893197987107,0.9454959644798516,0.3181818181818182
layers.3.blocks.0,0.2727272727272727,layer3,1.0,0.7660175152560326,0.7537221499860214,0.7272727272727273
layers.0.blocks.1,0.36363636363636365,layer1,0.0,0.9799960969507975,0.9421274234233625,-0.36363636363636365
layers.1.blocks.1,0.45454545454545453,layer2,0.5,0.9151328402213986,0.9151328402213986,0.04545454545454547
layers.2.blocks.1,0.5454545454545454,layer2,0.5,0.964574334207032,0.964574334207032,-0.045454545454545414
layers.3.blocks.1,0.6363636363636364,layer2,0.5,0.621190567729814,0.621190567729814,-0.13636363636363635
layers.2.blocks.2,0.7272727272727273,layer2,0.5,0.9466731196918812,0.9466731196918812,-0.2272727272727273
layers.2.blocks.3,0.8181818181818182,layer2,0.5,0.9262445178369564,0.8772532284158671,-0.31818181818181823
layers.2.blocks.4,0.9090909090909091,layer1,0.0,0.9058840177600095,0.8521530984565152,-0.9090909090909091
layers.2.blocks.5,1.0,layer1,0.0,0.9038252904028216,0.8173985573561231,-1.0
