layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,layer1,0.0,0.6772459605009659,0.6772459605009659,0.0
blocks.1,0.02564102564102564,layer1,0.0,0.6945802963473587,0.6945802963473587,-0.02564102564102564
blocks.2,0.05128205128205128,layer1,0.0,0.7829312511876968,0.7829312511876968,-0.05128205128205128
blocks.3,0.07692307692307693,layer1,0.0,0.7657131162135057,0.7657131162135057,-0.07692307692307693
blocks.4,0.10256410256410256,layer1,0.0,0.7611503821540496,0.7611503821540496,-0.10256410256410256
blocks.5,0.1282051282051282,layer1,0.0,0.7614865159314663,0.7614865159314663,-0.1282051282051282
blocks.6,0.15384615384615385,layer1,0.0,0.7622804110833147,0.7622804110833147,-0.15384615384615385
blocks.7,0.1794871794871795,layer1,0.0,0.7623362869608973,0.7623362869608973,-0.1794871794871795
blocks.8,0.20512820512820512,layer1,0.0,0.7634392474215532,0.7634392474215532,-0.20512820512820512
blocks.9,0.23076923076923078,layer1,0.0,0.7642208287672098,0.7642208287672098,-0.23076923076923078
blocks.10,0.2564102564102564,layer1,0.0,0.765520777448223,0.6268940232893028,-0.2564102564102564
blocks.11,0.28205128205128205,layer1,0.0,0.7671779555198005,0.6290747761011842,-0.28205128205128205
blocks.12,0.3076923076923077,layer1,0.0,0.7687656693908125,0.6310930658450877,-0.3076923076923077
blocks.13,0.3333333333333333,layer1,0.0,0.770893162456819,0.633794119205725,-0.3333333333333333
blocks.14,0.358974358974359,layer1,0.0,0.7727071797197176,0.6363137504839879,-0.358974358974359
blocks.15,0.38461538461538464,layer1,0.0,0.7747373682302559,0.6390593571254211,-0.38461538461538464
blocks.16,0.41025641025641024,layer1,0.0,0.7770908602559212,0.6423135409164313,-0.41025641025641024
blocks.17,0.4358974358974359,layer1,0.0,0.7807743805123065,0.6471509042490442,-0.4358974358974359
blocks.18,0.46153846153846156,layer1,0.0,0.78393778654814,0.6514775163913631,-0.46153846153846156
blocks.19,0.48717948717948717,layer1,0.0,0.7876447369124696,0.6564017715501401,-0.48717948717948717
blocks.20,0.5128205128205128,layer1,0.0,0.7914790548084258,0.661805282662927,-0.5128205128205128
blocks.21,0.5384615384615384,layer1,0.0,0.7951584880690027,0.6670467382303749,-0.5384615384615384
blocks.22,0.5641025641025641,layer1,0.0,0.7992286298009601,0.6729884394801967,-0.5641025641025641
blocks.23,0.5897435897435898,layer1,0.0,0.8043905405197377,0.6810511794102977,-0.5897435897435898
blocks.24,0.6153846153846154,layer1,0.0,0.811279288862075,0.6900946632002181,-0.6153846153846154
blocks.25,0.6410256410256411,layer1,0.0,0.8172513730156438,0.6990511309928639,-0.6410256410256411
blocks.26,0.6666666666666666,layer1,0.0,0.8272354172748521,0.7128005741944888,-0.6666666666666666
blocks.27,0.6923076923076923,layer1,0.0,0.8334476814124206,0.7230532782452628,-0.6923076923076923
blocks.28,0.717948717948718,layer1,0.0,0.8390359609912971,0.7329872204717217,-0.717948717948718
blocks.29,0.7435897435897436,layer1,0.0,0.8452668098276306,0.7452340420117023,-0.7435897435897436
blocks.30,0.7692307692307693,layer1,0.0,0.8509419017681265,0.639025712734099,-0.7692307692307693
blocks.31,0.7948717948717948,layer1,0.0,0.8554147032689671,0.654193465355423,-0.7948717948717948
blocks.32,0.8205128205128205,layer1,0.0,0.8578866621129619,0.6693519015141426,-0.8205128205128205
blocks.33,0.8461538461538461,layer1,0.0,0.8590421348937555,0.682744483055273,-0.8461538461538461
blocks.34,0.8717948717948718,layer1,0.0,0.8599582080847229,0.6972629460698877,-0.8717948717948718
blocks.35,0.8974358974358975,layer1,0.0,0.8605163983755343,0.712549537500645,-0.8974358974358975
blocks.36,0.9230769230769231,layer1,0.0,0.8598097078047916,0.7263492906285804,-0.9230769230769231
blocks.37,0.9487179487179487,layer1,0.0,0.8566475267646382,0.7403277166613998,-0.9487179487179487
blocks.38,0.9743589743589743,layer1,0.0,0.8528805980231452,0.747721928358304,-0.9743589743589743
blocks.39,1.0,layer1,0.0,0.8455263284641554,0.7568663900939693,-1.0
