layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,trunk.blocks.0,0.0,0.9441412411536041,0.9441412411536041,0.0
blocks.1,0.043478260869565216,trunk.blocks.0,0.0,0.9719228373676342,0.9719228373676342,-0.043478260869565216
blocks.2,0.08695652173913043,trunk.blocks.2,0.18181818181818182,0.926513723475125,0.920568332557521,0.09486166007905139
blocks.3,0.13043478260869565,trunk.blocks.1,0.09090909090909091,0.9620787023342117,0.9620787023342117,-0.03952569169960474
blocks.4,0.17391304347826086,trunk.blocks.1,0.09090909090909091,0.9790804737663404,0.9663731297885723,-0.08300395256916995
blocks.5,0.21739130434782608,trunk.blocks.1,0.09090909090909091,0.9857327577979744,0.9696130885297675,-0.12648221343873517
blocks.6,0.2608695652173913,trunk.blocks.1,0.09090909090909091,0.9845391576337427,0.9487932319185546,-0.16996047430830039
blocks.7,0.30434782608695654,trunk.blocks.1,0.09090909090909091,0.9796905641933925,0.9607067581516369,-0.21343873517786563
blocks.8,0.34782608695652173,trunk.blocks.2,0.18181818181818182,0.982447346214632,0.9564287299905273,-0.1660079051383399
blocks.9,0.391304347826087,trunk.blocks.3,0.2727272727272727,0.9847251384628023,0.9733937866581476,-0.11857707509881427
blocks.10,0.43478260869565216,trunk.blocks.3,0.2727272727272727,0.9833743225210747,0.9511235824085035,-0.16205533596837945
blocks.11,0.4782608695652174,trunk.blocks.4,0.36363636363636365,0.9783102748655861,0.9531602137932077,-0.11462450592885376
blocks.12,0.5217391304347826,trunk.blocks.4,0.36363636363636365,0.9787562890367352,0.9556580062515793,-0.15810276679841895
blocks.13,0.5652173913043478,trunk.blocks.4,0.36363636363636365,0.9676082669911149,0.9533222835031958,-0.20158102766798414
blocks.14,0.6086956521739131,trunk.blocks.4,0.36363636363636365,0.9532082730049568,0.9517053198815801,-0.24505928853754944
blocks.15,0.6521739130434783,trunk.blocks.4,0.36363636363636365,0.9394052374930076,0.9377648148351888,-0.2885375494071146
blocks.16,0.6956521739130435,trunk.blocks.7,0.6363636363636364,0.9175034282038925,0.9173868592660167,-0.059288537549407105
blocks.17,0.7391304347826086,trunk.blocks.8,0.7272727272727273,0.9083486069047474,0.9083486069047474,-0.011857707509881354
blocks.18,0.782608695652174,trunk.blocks.8,0.7272727272727273,0.8939292868096256,0.8880030158008039,-0.055335968379446654
blocks.19,0.8260869565217391,trunk.blocks.8,0.7272727272727273,0.8881142928561111,0.8853948040524731,-0.09881422924901184
blocks.20,0.8695652173913043,trunk.blocks.10,0.9090909090909091,0.8923099024760338,0.8923099024760338,0.03952569169960474
blocks.21,0.9130434782608695,trunk.blocks.10,0.9090909090909091,0.8935325593319302,0.8935325593319302,-0.0039525691699604515
blocks.22,0.9565217391304348,trunk.blocks.10,0.9090909090909091,0.8855633713289065,0.878854582324841,-0.04743083003952575
blocks.23,1.0,trunk.blocks.10,0.9090909090909091,0.6459332661268811,0.6331108709534128,-0.09090909090909094
