layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,blocks.24,0.6153846153846154,0.9744973043222644,0.8705037024933202,0.6153846153846154
blocks.1,0.043478260869565216,blocks.26,0.6666666666666666,0.9571194358935003,0.9499083947506379,0.6231884057971014
blocks.2,0.08695652173913043,blocks.37,0.9487179487179487,0.7067607027785824,0.604967856551539,0.8617614269788183
blocks.3,0.13043478260869565,blocks.31,0.7948717948717948,0.8043585482090038,0.730493536880514,0.6644370122630991
blocks.4,0.17391304347826086,blocks.36,0.9230769230769231,0.8183125622756122,0.7091260788929256,0.7491638795986623
blocks.5,0.21739130434782608,blocks.36,0.9230769230769231,0.8412541373984739,0.728339843374351,0.7056856187290971
blocks.6,0.2608695652173913,blocks.36,0.9230769230769231,0.8491111512066204,0.7284728247626,0.6622073578595318
blocks.7,0.30434782608695654,blocks.37,0.9487179487179487,0.8482849983421613,0.708516525344841,0.6443701226309921
blocks.8,0.34782608695652173,blocks.39,1.0,0.8302460968304718,0.6590411402970866,0.6521739130434783
blocks.9,0.391304347826087,blocks.39,1.0,0.8079747524560018,0.6024313209453229,0.6086956521739131
blocks.10,0.43478260869565216,blocks.39,1.0,0.8052694289864282,0.5823516417246797,0.5652173913043479
blocks.11,0.4782608695652174,blocks.39,1.0,0.8156469928093834,0.588785209754446,0.5217391304347826
blocks.12,0.5217391304347826,blocks.39,1.0,0.8106465504195665,0.5670242661463369,0.4782608695652174
blocks.13,0.5652173913043478,blocks.39,1.0,0.8327994578874256,0.5965905039188829,0.4347826086956522
blocks.14,0.6086956521739131,blocks.39,1.0,0.8457333711134652,0.61960301916741,0.3913043478260869
blocks.15,0.6521739130434783,blocks.39,1.0,0.8514759549038527,0.6414596473782401,0.34782608695652173
blocks.16,0.6956521739130435,blocks.39,1.0,0.864844703449097,0.6844204924726217,0.30434782608695654
blocks.17,0.7391304347826086,blocks.39,1.0,0.8536648650571431,0.6988167784164647,0.26086956521739135
blocks.18,0.782608695652174,blocks.39,1.0,0.8377981703945981,0.7166229563779103,0.21739130434782605
blocks.19,0.8260869565217391,blocks.39,1.0,0.837744766478605,0.728746465453813,0.17391304347826086
blocks.20,0.8695652173913043,blocks.39,1.0,0.8261160470543589,0.742230755000928,0.13043478260869568
blocks.21,0.9130434782608695,blocks.39,1.0,0.8151792162109414,0.7665646826614548,0.08695652173913049
blocks.22,0.9565217391304348,blocks.39,1.0,0.8092733593616207,0.7798182063021125,0.04347826086956519
blocks.23,1.0,blocks.39,1.0,0.6901153837805061,0.6901153837805061,0.0
