layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,layer1,0.0,0.8274912706606907,0.8274912706606907,0.0
blocks.1,0.043478260869565216,layer1,0.0,0.8867423834920624,0.8867423834920624,-0.043478260869565216
blocks.2,0.08695652173913043,layer2,0.5,0.9173984838594196,0.9123638625960628,0.41304347826086957
blocks.3,0.13043478260869565,layer1,0.0,0.9607848348769262,0.9607848348769262,-0.13043478260869565
blocks.4,0.17391304347826086,layer1,0.0,0.9737740683682069,0.9737740683682069,-0.17391304347826086
blocks.5,0.21739130434782608,layer1,0.0,0.9816379062618393,0.9816379062618393,-0.21739130434782608
blocks.6,0.2608695652173913,layer1,0.0,0.9811944251982907,0.971911310069313,-0.2608695652173913
blocks.7,0.30434782608695654,layer2,0.5,0.9810656151750625,0.9810656151750625,0.19565217391304346
blocks.8,0.34782608695652173,layer2,0.5,0.9883846064033033,0.9883846064033033,0.15217391304347827
blocks.9,0.391304347826087,layer2,0.5,0.9883908554628712,0.9883908554628712,0.10869565217391303
blocks.10,0.43478260869565216,layer2,0.5,0.9833085849962921,0.9833085849962921,0.06521739130434784
blocks.11,0.4782608695652174,layer2,0.5,0.9761853508883981,0.9761853508883981,0.021739130434782594
blocks.12,0.5217391304347826,layer2,0.5,0.9640649724240802,0.9640649724240802,-0.021739130434782594
blocks.13,0.5652173913043478,layer2,0.5,0.9541104141041526,0.9541104141041526,-0.06521739130434778
blocks.14,0.6086956521739131,layer2,0.5,0.9357943828456146,0.9357943828456146,-0.10869565217391308
blocks.15,0.6521739130434783,layer2,0.5,0.9276851688846353,0.9276851688846353,-0.15217391304347827
blocks.16,0.6956521739130435,layer2,0.5,0.9003839135571399,0.9003839135571399,-0.19565217391304346
blocks.17,0.7391304347826086,layer2,0.5,0.877299363494225,0.877299363494225,-0.23913043478260865
blocks.18,0.782608695652174,layer2,0.5,0.858906875467243,0.854408362850397,-0.28260869565217395
blocks.19,0.8260869565217391,layer2,0.5,0.8367579061489263,0.8353748810090738,-0.32608695652173914
blocks.20,0.8695652173913043,layer3,1.0,0.8096391446090654,0.8096391446090654,0.13043478260869568
blocks.21,0.9130434782608695,layer3,1.0,0.8011208846219033,0.8011208846219033,0.08695652173913049
blocks.22,0.9565217391304348,layer3,1.0,0.7846111029262574,0.7846111029262574,0.04347826086956519
blocks.23,1.0,layer1,0.0,0.5477900456772798,0.5326709131181476,-1.0
