,trunk.blocks.0,trunk.blocks.1,trunk.blocks.2,trunk.blocks.3,trunk.blocks.4,trunk.blocks.5,trunk.blocks.6,trunk.blocks.7,trunk.blocks.8,trunk.blocks.9,trunk.blocks.10,trunk.blocks.11
blocks.0,0.9441412411536041,0.8255068817615412,0.6593001185378625,0.6097812546427278,0.5641440969387655,0.5048530433760158,0.49423196094900645,0.4852452553995975,0.46911518096392824,0.46843361239181075,0.4659579710939607,0.47181951996279375
blocks.1,0.9719228373676342,0.8837688149538238,0.7435606656241204,0.695186937003171,0.640413373492244,0.5727273914923032,0.5583420519948249,0.5506824606587114,0.5299414691616006,0.5205063402179139,0.5080542587005703,0.5131400079303132
blocks.2,0.8037061302946825,0.920568332557521,0.926513723475125,0.9050717303168175,0.8569342934938807,0.7938027900999642,0.7750485756298626,0.7716040818444806,0.747990782654758,0.7142975122092516,0.6729224525686505,0.6668600117382598
blocks.3,0.9125283882475788,0.9620787023342117,0.9273672331432251,0.8970606486519148,0.8416597643464397,0.7673539115244392,0.7466352741293305,0.7444318234502604,0.7182828558285926,0.6904645164462344,0.6562491048277317,0.6539300338846735
blocks.4,0.8921324436208904,0.9790804737663404,0.9663731297885723,0.9429949741130559,0.9001443708790882,0.8353548511148229,0.8155982579835208,0.8130844288547207,0.7912445861549018,0.7666603037137618,0.7357707000817185,0.7331523271487207
blocks.5,0.8976769808304667,0.9857327577979744,0.9696130885297675,0.9474141858379898,0.9091389192585095,0.8485962727749401,0.8307983251369564,0.8278749807071802,0.8082571603140933,0.7862833594817512,0.7575450140103541,0.7560328042855443
blocks.6,0.8965693606138219,0.9845391576337427,0.9688245998883644,0.9487932319185546,0.915440283642641,0.8599866401868493,0.8436515208758225,0.8403662747389924,0.8220664300950763,0.8007422707517569,0.7724761698897669,0.770775417979743
blocks.7,0.8796393891621268,0.9796905641933925,0.9755000589081019,0.9607067581516369,0.9339414528610528,0.8839380415895104,0.8699298890676304,0.8672445107149296,0.8509653502244547,0.8300470835761229,0.8026667625762959,0.8003752640280426
blocks.8,0.8415611061537971,0.9643099986106234,0.982447346214632,0.9753005786780171,0.9564287299905273,0.9136394010666691,0.9012438615551077,0.8996325280728816,0.8845517913463862,0.8629421063948302,0.835087529912882,0.832309155553478
blocks.9,0.7989168578420776,0.9422863339734295,0.9841287349473655,0.9847251384628023,0.9733937866581476,0.937658253276452,0.9263149756369143,0.9262289664536032,0.911710349471581,0.8896484312156666,0.8611032504582633,0.8578680201190985
blocks.10,0.7782361138303986,0.9260268029546139,0.9764854228984089,0.9833743225210747,0.9800592418554156,0.9511235824085035,0.9425728748817748,0.9433885192142603,0.930055742636998,0.9089494447710774,0.8815798934905591,0.8769744109990364
blocks.11,0.7776107080012867,0.9188076534786483,0.9667745413494376,0.9762754573162615,0.9783102748655861,0.9531602137932077,0.9460052421047743,0.9471456279858123,0.9342959822430152,0.9158978242565471,0.8916474250727356,0.8864220870330989
blocks.12,0.7519685467496916,0.897566045473773,0.9529545364991872,0.9680805464060365,0.9787562890367352,0.9608055994795813,0.9556580062515793,0.9575582250247524,0.9467523481115788,0.9305096240259726,0.9086307060787528,0.9022854517263293
blocks.13,0.7636904201816019,0.8935802303421734,0.9362084509170997,0.9513583141621373,0.9676082669911149,0.9548614100225162,0.9533222835031958,0.9547177067826147,0.9461481366454322,0.9333408833943568,0.914788093946588,0.9061310763402255
blocks.14,0.7596920904107628,0.8772814095078526,0.9130755872585681,0.9298169562052366,0.9532082730049568,0.9477680809526767,0.9497415259002538,0.9517053198815801,0.9466738156555193,0.9372101549551177,0.9218861839248679,0.9108449926522214
blocks.15,0.7698045129976269,0.8762481406815644,0.9022146464283318,0.9169010978797911,0.9394052374930076,0.9333447581655256,0.9360019132843079,0.9377648148351888,0.9335888646551106,0.9245119617310571,0.9096258848778292,0.8970884784810041
blocks.16,0.773750600937723,0.859806871454357,0.8688562063862315,0.8835895366867975,0.9105505384687224,0.9079890535138024,0.9144530029119586,0.9175034282038925,0.9173868592660167,0.9119728261011493,0.9009719908701118,0.8870551540632166
blocks.17,0.748405704346923,0.8345121596658136,0.844790407785742,0.8621552100605436,0.8922262439140929,0.8915459432826816,0.8998383599707531,0.905310321108825,0.9083486069047474,0.9035356990287198,0.894597007351687,0.8801683096057132
blocks.18,0.7300593537396882,0.8125822522623479,0.8234082526700401,0.8428371603438269,0.8727361274662317,0.8718353896355578,0.8819052570277947,0.889710946560352,0.8939292868096256,0.8880030158008039,0.8790894081113523,0.8658601655869136
