,layers.0.blocks.0,layers.1.blocks.0,layers.2.blocks.0,layers.3.blocks.0,layers.0.blocks.1,layers.1.blocks.1,layers.2.blocks.1,layers.3.blocks.1,layers.2.blocks.2,layers.2.blocks.3,layers.2.blocks.4,layers.2.blocks.5
blocks.0,0.8619054254143212,0.7296235237383971,0.7212453298907855,0.5703412624036742,0.8650202226667443,0.7007408295024757,0.737428245346781,0.5249260049146562,0.747688331154525,0.765292308081796,0.7787979025282947,0.8066365185053617
blocks.1,0.8945591780472057,0.7448295341141861,0.7762221555504039,0.5704268849602914,0.9026304448966233,0.7287644245770422,0.7857221545515193,0.5131126330761969,0.7871929607826793,0.7976516483660695,0.8033335391476215,0.8275327724539955
blocks.2,0.8644486836277951,0.7558609451057758,0.8656631520966288,0.5831172832851843,0.8717748647148963,0.78551317320371,0.8435669265800254,0.47270033949493107,0.8184272721623111,0.7979908106744482,0.7735118682522059,0.7634047399376171
blocks.3,0.9109926808308519,0.7745896801069906,0.88617671198345,0.603049469789426,0.9249102231063305,0.7957896467659247,0.8749681772665168,0.514024694505477,0.856488318433715,0.8465839231995334,0.8320487230342388,0.8354498818388595
blocks.4,0.9395935136394901,0.8344773686219655,0.9317139221824465,0.6671988331180524,0.9501886476286279,0.8581812884028014,0.9193700849803897,0.5596852940956529,0.900401264715001,0.8830739459960099,0.8640398194698383,0.8547012795702751
blocks.5,0.955881754952713,0.8599116481878925,0.94768637930341,0.6976824451745677,0.9654433891455473,0.8815038919665801,0.9377947207562709,0.585916905238646,0.9213248389943629,0.9045680959695621,0.8868170856708959,0.8757848119858567
blocks.6,0.958300703017802,0.8719568309030099,0.9555992900807648,0.7193219052194196,0.9667532968054117,0.8930921224186212,0.9472078405777954,0.6065344788257535,0.9322392041812578,0.916523572518041,0.8994397545579672,0.888017201717236
blocks.7,0.956878469519184,0.8873238214847196,0.9667226110797141,0.74619855776173,0.9650257546121621,0.9099995234177636,0.9587561609402413,0.6309449962902425,0.944697920056951,0.9281182449628297,0.9103546786767773,0.8948422663751728
blocks.8,0.9407697791263112,0.8894769724491189,0.9720137518824487,0.7631255575061424,0.9489315384276664,0.9169615860984708,0.9623231159203602,0.6407247733701601,0.94723879448042,0.9279488228587005,0.9077665555561246,0.8864427457529739
blocks.9,0.9164305640205851,0.8810852596699779,0.9702523394132972,0.7715977245639359,0.9251061371626668,0.9138156454500767,0.9578864701249334,0.6429069582232917,0.9412545689378085,0.9194486664149893,0.8971655979534262,0.8708726803685107
blocks.10,0.9006596621986344,0.8811790884227684,0.9687492520605118,0.7909546186945863,0.9085803700792442,0.9152646673426128,0.9567069162522408,0.6639494273212712,0.9414603321362884,0.9206853757993363,0.8988925900672237,0.870731909328196
blocks.11,0.8935730061669046,0.8821931043732667,0.9659225784411624,0.8089309240136953,0.9012602764934654,0.9153600848838668,0.9580464018625461,0.6874534222118435,0.9458587035093142,0.9282504863377362,0.9083600000480385,0.8814737223171539
blocks.12,0.8749400341540142,0.8805595139259391,0.9587096509156241,0.8247096223976113,0.8811872204088348,0.9143475705958523,0.9509116310885086,0.7043145943579636,0.9398688210285631,0.9225684037758403,0.9031057217057012,0.8739651197010776
blocks.13,0.8762527044587037,0.8927475492419398,0.9567113192848713,0.8529322102987337,0.8800852249480898,0.9217230735673976,0.9538803036919926,0.7422994646486705,0.9477853868153872,0.9363950336038112,0.9209067032045531,0.8953940499562498
blocks.14,0.8675639955105305,0.9015793373486347,0.948663639286299,0.8776500766700019,0.8683123103882944,0.9258331825864813,0.9480488107100624,0.7739863252205539,0.9455787179705027,0.9383515840026372,0.9257858236519447,0.9025371734768498
blocks.15,0.8658074117939416,0.8989302126155722,0.9410411581526673,0.8772515068224669,0.8657242459103079,0.9202817760054569,0.9423798129534022,0.779761503937874,0.941797624661695,0.9383265141945931,0.9278114420132169,0.9090407474245987
blocks.16,0.8554829782078799,0.8991683393518484,0.9237845476057284,0.8929287354410406,0.8524678972769149,0.913798413496287,0.9283661357444202,0.804323125166868,0.9327496782422511,0.9355087301916022,0.9297370854663081,0.9162370925629011
blocks.17,0.8336724653200824,0.8892084967270034,0.9045703290138365,0.8896038384293234,0.8282272076462409,0.9021678480198452,0.9081309366309247,0.7966476676639928,0.9129787967358733,0.9163496218581564,0.911105156834516,0.8973949781442091
blocks.18,0.8123559891047744,0.8699859537826407,0.8875258630566644,0.873101435950114,0.8066697230189873,0.8830690013609961,0.8890458322138717,0.7754863151654102,0.8927948664507035,0.8965210952015223,0.8915948049319078,0.878210338953476
blocks.19,0.7975744781701742,0.8684092136326913,0.8735352595409847,0.8807547650090995,0.7899761345097984,0.878929815264386,0.8757926377400972,0.7833314726600598,0.8813149135607535,0.885322138272604,0.8818402769749606,0.8669910027986939
blocks.20,0.7578890464849081,0.8545992977416835,0.8449475455511333,0.8911535569786533,0.748920064931635,0.8642586557484958,0.8482142477519189,0.7943961205436254,0.8560162017283295,0.8578492271264025,0.8559830785574611,0.8356889108105846
blocks.21,0.7347278357445873,0.8359827388661664,0.8302602904058588,0.8831791809697924,0.7273430552776191,0.8478773076359385,0.8331702364336745,0.7825169007355149,0.8402594921578516,0.8391266870005862,0.8370706251762454,0.8137631081259546
blocks.22,0.7172805274579345,0.823325941969785,0.8142461267862052,0.881919312948874,0.7104396663091671,0.834616688860916,0.8182380784051384,0.7853862195502267,0.8266030692822418,0.8267035311565896,0.8265440795507667,0.8041262701931922
blocks.23,0.5749141111344858,0.646139167166533,0.6027122582596199,0.7556105653101579,0.5650233207190172,0.6341049822361453,0.6268990003037588,0.7967687759758193,0.6543951843153506,0.6823685031781161,0.7006289453738088,0.715608701886898
