,blocks.0,blocks.1,blocks.2,blocks.3,blocks.4,blocks.5,blocks.6,blocks.7,blocks.8,blocks.9,blocks.10,blocks.11,blocks.12,blocks.13,blocks.14,blocks.15,blocks.16,blocks.17,blocks.18,blocks.19,blocks.20,blocks.21,blocks.22,blocks.23,blocks.24,blocks.25,blocks.26,blocks.27,blocks.28,blocks.29,blocks.30,blocks.31,blocks.32,blocks.33,blocks.34,blocks.35,blocks.36,blocks.37,blocks.38,blocks.39
blocks.0,0.8705037024933202,0.8857175423752899,0.9688181130363556,0.9701653572221477,0.9701093391845765,0.9703318395492965,0.9703180498715128,0.9702057497759091,0.9703342210759495,0.9703793992817673,0.970489858669288,0.9707122387532645,0.9709690079037008,0.9712755733498905,0.9714964404762598,0.9717789198879055,0.9720959794124775,0.9726095364051303,0.9730665717134253,0.9735667275203403,0.9738441712148863,0.9742726065724981,0.9744684362204534,0.9740921690873704,0.9744973043222644,0.9739712071501457,0.973419954500713,0.9715349190797556,0.9685503570931105,0.9635767340797982,0.957451217842757,0.9512196558875308,0.9428726636207534,0.9337423615098904,0.922001226272803,0.9088562862031269,0.8944431363044025,0.8750977335934081,0.8600600506699352,0.8391349192860654
blocks.1,0.8284722512177172,0.846746222793311,0.9499083947506379,0.9449742469840122,0.9436332622728592,0.9438072578545958,0.9439129604602686,0.9436593154515512,0.9440188416976596,0.9441782553927847,0.9444833727997866,0.9449985005854014,0.9455583215510549,0.9463110836813382,0.9467872825879529,0.9473626658755675,0.9479884513988968,0.9491873282662837,0.9500765324464472,0.9511082131838285,0.9519195292673132,0.9525783317984106,0.9531355446711647,0.953353688197707,0.9551689855267668,0.9554503073826892,0.9571194358935003,0.9560982537099295,0.9539741393563795,0.9500871103727067,0.9451629561530754,0.9401944457174932,0.932623805465929,0.9247022785247098,0.9143185095955384,0.9029797947780565,0.8902129064682744,0.8727661129046315,0.8589079735231835,0.8393708186417761
blocks.2,0.4908806206687561,0.5125535514405674,0.6366364263217076,0.604967856551539,0.5977599348951239,0.5976185189197682,0.5984675981540103,0.5983949195638522,0.5996801296935301,0.600530829566461,0.601950360308678,0.6037129477343943,0.6053741135725946,0.6077764918593976,0.6095980921041757,0.6116939725340379,0.6141052563960167,0.6180750073186337,0.621208034083599,0.6248432968139908,0.628675419170619,0.631602279676673,0.6351100520793906,0.6398617401851803,0.6468311956608354,0.6524128945685562,0.6632865945763875,0.6691871574545096,0.6747991749394188,0.6815833657722403,0.687610260573761,0.6927564708767016,0.6963165347596914,0.6991058970146921,0.7016686395107831,0.7052515173397117,0.7067302223960119,0.7067607027785824,0.7045409294820624,0.7005056470621327
blocks.3,0.610990216341919,0.6329492880513229,0.7573709563332098,0.7354436037393598,0.7303136567435634,0.730493536880514,0.7311487697524405,0.7309294501927528,0.7320422462620698,0.7327022928331441,0.7338579905717904,0.7353797993396332,0.7368757051791125,0.7389587591565235,0.7405233979145275,0.7423154846164917,0.7443354773223555,0.7478390178690772,0.7505776737064042,0.7538258721953163,0.7570616294533146,0.7597189641849421,0.762711992032891,0.7664656185263651,0.7730612547931712,0.7777068411340837,0.7872144540716676,0.7918653112252498,0.7953086120046104,0.7989837534777937,0.8020793162046269,0.8043585482090038,0.8042645589793983,0.8038704324527147,0.8023531684086219,0.8012099231770983,0.7984895223751891,0.7935201001107928,0.7883744223387223,0.7796391190159477
blocks.4,0.6044791684746572,0.6252889093747934,0.7361442032846577,0.7139509656279606,0.7081145687433344,0.708234503376904,0.7090923396881299,0.7091260788929256,0.710370974682364,0.7112352737004702,0.7126624585299979,0.7144184946938859,0.7160741744565184,0.7183677230383724,0.7202460450112569,0.7223535471624105,0.724835158952086,0.7287662419668693,0.7320257988003052,0.7358738388162638,0.7398462465070127,0.7433760464236318,0.7473246987253183,0.7526525299773594,0.7600559726055908,0.7661624705684584,0.7772408598499766,0.7840267568345065,0.7898969384215541,0.7970539490376258,0.8034570399448765,0.8086442767513479,0.8122350875760321,0.8147267966364246,0.8162441213403462,0.8182507032277955,0.8183125622756122,0.8165181252876569,0.8133412667061678,0.807714993794519
blocks.5,0.630642760244695,0.6506578671252391,0.7528144233636023,0.7316379150014874,0.725882831290161,0.726047323523415,0.7269589219218563,0.7270928997876603,0.728339843374351,0.7292373565637418,0.7306919597743178,0.732460580082132,0.7341107419482514,0.7363782245713256,0.7382922775368904,0.7404451108760731,0.7429999409461677,0.7469234724225622,0.7502632110608953,0.7541736038809638,0.7582545143836578,0.7620035954101335,0.7661739853324632,0.7718015251901673,0.7790973523845571,0.7854089750379647,0.7963890620521823,0.803412844207918,0.8096303904181887,0.8172685226953331,0.8241615742676064,0.8297240481080829,0.8339198969746131,0.8367165976505561,0.8385990569428362,0.8409055521438622,0.8412541373984739,0.8396443318453047,0.8365783500460142,0.8311883447343297
blocks.6,0.6317766605162444,0.6520268985090696,0.7511539639980659,0.7291471064757217,0.7233888244788697,0.7236146824636782,0.7245806417294117,0.724769192028402,0.7260402674414238,0.7269811233363026,0.7284728247626,0.7302789019484179,0.731952999695277,0.7342547052133659,0.7362531708963543,0.738505646078094,0.7411747547342772,0.7452353224057171,0.7487330451470557,0.7527911750809246,0.7571195852216448,0.7611642345147052,0.7656820463259947,0.7716349261294991,0.7790968397916493,0.7858317430774546,0.7970579753723647,0.8045625501089729,0.8113900856694407,0.8196761966983626,0.8273695257705265,0.833494162083874,0.8384492555479093,0.841922062321995,0.8446808137599657,0.8478892834384155,0.8491111512066204,0.8485280167191229,0.8461347837773981,0.8417965178044825
blocks.7,0.6171972596792206,0.636747615848341,0.7270879222396835,0.705158701472959,0.69925357400316,0.6995265849698883,0.7005810535166486,0.7008520123164089,0.7021744287579376,0.7032070635197133,0.7048180342179714,0.7067445859054888,0.708516525344841,0.7109410379861594,0.7131318651140645,0.715572715236269,0.7184850481510558,0.7228083075536631,0.7266154301529113,0.7309922792851606,0.7357289724886833,0.7402580937071466,0.7453159827079767,0.7520194510920031,0.7599638998726532,0.7675048276848924,0.7795178456717949,0.7880647086384619,0.7960864228178719,0.805839537376531,0.815207519867034,0.8227127620985776,0.8293188324679511,0.8341993279266526,0.8387439269194445,0.8436695010570792,0.8466764067204132,0.8482849983421613,0.8475047597916897,0.8453606666591994
blocks.8,0.5733131563861975,0.5920078977724138,0.6729876862948619,0.6500638984876163,0.6437957629694537,0.6440807366542227,0.6452421740198858,0.6455796405047923,0.6469993514966208,0.648146720041224,0.6499229371048876,0.6520348073299417,0.6539636010553666,0.6565990213827693,0.6590411402970866,0.6617515630037841,0.6649868555959071,0.6697322189952126,0.6739730875724531,0.6788276479931352,0.6841547573923903,0.689312517556159,0.6950914566415126,0.7028370067537816,0.7116238477241538,0.7202917830016591,0.7336884340228136,0.7436993938841235,0.7533287826892314,0.7651781854786973,0.7768637035230233,0.7864130585608463,0.7953254176924606,0.8023391623277973,0.8094890610746106,0.8170965260614705,0.8228282785116866,0.8276927571968319,0.8292231429453811,0.8302460968304718
blocks.9,0.5204041147079776,0.5384156433069054,0.6135876222235622,0.589623632595676,0.5830497599660751,0.5833489422223308,0.5845995875682416,0.5849762423336569,0.5864847432640898,0.5877174665185166,0.5896303516124339,0.5919093112618987,0.5939825058168327,0.5968102622701211,0.5994722156870445,0.6024313209453229,0.6059488379436057,0.6111017959368835,0.6157488725335358,0.6210730197178758,0.626968007095341,0.6327138967371214,0.6391836310278589,0.6479208880558963,0.657583654593923,0.6673366468165158,0.6821309097021556,0.6935679738097154,0.7046858396970991,0.7185130185633006,0.7323695475907086,0.7438161214678656,0.7547744622648664,0.7637921924907897,0.7734927126399345,0.7835847425187557,0.7919333020200797,0.8000365873701619,0.8038600658461245,0.8079747524560018
blocks.10,0.4986003252453048,0.5161661926541582,0.5836300303976382,0.5595454415358667,0.5529961087630365,0.5533394734439114,0.5546368128675926,0.5550546374483042,0.5565864312104399,0.5578724158418207,0.5598601280950821,0.5622230715225517,0.5643646055008344,0.5672720958286034,0.5701051459940129,0.5732341571794858,0.5769519202698286,0.5823516417246797,0.5873067364116527,0.5929255995092212,0.5992289609628415,0.6054676695209805,0.6125136501540014,0.6219497677965317,0.6321243484590203,0.6426847325834674,0.6582183447308074,0.6706917262855924,0.6828790827851875,0.6979831956206977,0.7133655285204622,0.7260417116072979,0.738403113079915,0.7488401877507492,0.7604709240464288,0.7723033411343656,0.7825105962191181,0.7930530554468523,0.7987804273372652,0.8052694289864282
blocks.11,0.5021011100969045,0.5187510574506599,0.576150002512768,0.5539606538166952,0.5478846388686732,0.5483218072030018,0.5496097002112493,0.5500525276777778,0.5515632029715896,0.5528724274310244,0.5548756619987794,0.5572596839798527,0.5594253191287399,0.5623296931453927,0.565265859004045,0.5684799476303124,0.5723040678271144,0.5778189027733724,0.5829815267022986,0.588785209754446,0.5953334918409576,0.6020041483367362,0.6094884404731076,0.6193356580872037,0.6298678448430969,0.6409975846846742,0.6568829983196832,0.6700914677863006,0.6828291669924241,0.6984728694350519,0.7147083034220496,0.7280210762653042,0.7411661818522364,0.7524105931230464,0.7651388475030679,0.777914173567951,0.7890986875522801,0.8008782086659765,0.8078666640048031,0.8156469928093834
blocks.12,0.4818298591716024,0.49796998739911696,0.5454577494058118,0.5238347298569208,0.5178462431405851,0.518293868113762,0.5196131337331762,0.5201054800298556,0.5216274158076734,0.522985904077239,0.5250513539299985,0.527494312634224,0.529696427065079,0.5326331497573725,0.5356901305050263,0.5390317630741097,0.543012696157468,0.5486986686626979,0.5540886775632219,0.5601357224102981,0.5670242661463369,0.5741619338022846,0.5821645930804527,0.592666884995004,0.6036223557707786,0.615490407292701,0.6320168793893984,0.6462691731222194,0.6600606157108867,0.6770470185042842,0.6948180607745549,0.7094374478831819,0.7240371127814517,0.7367869162429961,0.7511386262367812,0.7655454787560789,0.7783310734761762,0.7921986853606902,0.8007507807753012,0.8106465504195665
blocks.13,0.505974739590917,0.5216055716886304,0.5569668280686966,0.5366779413254144,0.5311634745872604,0.5317224675314525,0.5330335618692628,0.5335733505224616,0.5350373433132252,0.5363983654656903,0.5384352290306356,0.5408364912764251,0.542997460045341,0.5458511088208094,0.5489661254744308,0.5523488374090378,0.5563923805261488,0.5620808386360326,0.5676080386049952,0.5736953434206704,0.580730754315904,0.5881895788106287,0.5965905039188829,0.6072780062293766,0.6182050141780018,0.6303971467015335,0.6466456026222536,0.6612580106980162,0.6754618495697262,0.6925733334608171,0.7108241075201306,0.7256714190745135,0.7406760666228988,0.7539864785544692,0.769247659066583,0.7843259012432224,0.797773044458559,0.8125014482830285,0.822078191807234,0.8327994578874256
blocks.14,0.5141394706660007,0.5296881347632449,0.5562431141580987,0.5364407483053382,0.5312518474943478,0.5318890835852984,0.5332139841517212,0.5338142046690597,0.5352268073794559,0.5365956494553614,0.5386019228820144,0.5409584550553193,0.543057256313001,0.5458206459791409,0.5489673297884562,0.5523967876029046,0.5565009657996872,0.5621941230745238,0.5678304919919435,0.5739665320360615,0.5811820631114722,0.5889449834720067,0.597773953211219,0.608730784645356,0.61960301916741,0.6321839682933852,0.6482599155937927,0.6634096580936727,0.6784080409517182,0.6961412358570237,0.7152782562355384,0.7306890844277201,0.7463751661120576,0.7606202227018075,0.7770481306357215,0.7930236272503401,0.8072675972734884,0.8231343928465223,0.8337207538906529,0.8457333711134652
blocks.15,0.524498058524477,0.5401552189752894,0.566719309154014,0.5467723027841914,0.5418715609409975,0.5425626565217163,0.5438519801966616,0.5444461950080492,0.5458072507002893,0.5471496374640555,0.5490912907343212,0.5513794490537727,0.5534244625164343,0.5561149491268904,0.5592199175658826,0.5626058451798434,0.5666484468302881,0.5722655518825983,0.5778575426332991,0.5838970595527828,0.5910473217308798,0.5987613686512553,0.6076151699425426,0.6183025531821239,0.6290049515233218,0.6414596473782401,0.6571339232793892,0.672078606488949,0.6869717879869478,0.7043193748782309,0.7231033088462975,0.7381123254344276,0.7533395864274749,0.7674182019663143,0.7837583860876995,0.7996832731950563,0.8137260242822143,0.8292456202506884,0.8398268992048677,0.8514759549038527
