,layer1,layer2,layer3
blocks.0,0.8274912706606907,0.6847941171946689,0.5307643792734945
blocks.1,0.8867423834920624,0.76207410446398,0.6124102146657421
blocks.2,0.9123638625960628,0.9173984838594196,0.8562994849378555
blocks.3,0.9607848348769262,0.9208962197564124,0.8259824772642288
blocks.4,0.9737740683682069,0.959777546771869,0.8808664544225497
blocks.5,0.9816379062618393,0.9684807756048358,0.890939246219915
blocks.6,0.9811944251982907,0.971911310069313,0.9001850418895003
blocks.7,0.977638148256421,0.9810656151750625,0.9196383804799638
blocks.8,0.9641896375536412,0.9883846064033033,0.944725581443524
blocks.9,0.9443771293507268,0.9883908554628712,0.9615721068011014
blocks.10,0.9279083105788535,0.9833085849962921,0.9663580247156794
blocks.11,0.9203876767713473,0.9761853508883981,0.9610836341620543
blocks.12,0.8984929651241288,0.9640649724240802,0.9593731709036806
blocks.13,0.8930059847785489,0.9541104141041526,0.9467263326036767
blocks.14,0.8753094008988737,0.9357943828456146,0.9298283500721718
blocks.15,0.8743774766555799,0.9276851688846353,0.9167663122940124
blocks.16,0.8561399667103128,0.9003839135571399,0.8884349308381463
blocks.17,0.8301979064980046,0.877299363494225,0.8704041195093569
blocks.18,0.810740929679949,0.858906875467243,0.854408362850397
blocks.19,0.7863969896276853,0.8367579061489263,0.8353748810090738
blocks.20,0.7344118797955153,0.7968606211265854,0.8096391446090654
blocks.21,0.7108905702304724,0.7791084719190295,0.8011208846219033
blocks.22,0.6915968343103528,0.7579823877282481,0.7846111029262574
blocks.23,0.5477900456772798,0.5453416812233101,0.5326709131181476
